start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
2000.0,2000.0,300.0,80.0,1.0,817.8,1634.9909161488501,1535.7763337103454,1686.3555738288428,1507.8658793336067
,,,,,,1489.8302052762106,1275.6896641064118,1535.348210592285,1256.5037458030588
,,,,,,1371.9520052251296,1033.8423336040898,1378.527499564846,1040.6205218385282
,,,,,,1248.4058074880575,829.2940004888754,1235.7907954842556,848.367366415662
,,,,,,1115.8443720178725,662.2668583299086,1103.5750633253983,683.1897666191427
,,,,,,984.387828761098,526.9790758059238,981.2812861313531,538.4208322543109
,,,,,,865.0936308416678,415.53485336724697,876.2640110680809,412.0717799634758
,,,,,,761.5898974857405,318.3069723748621,779.7284359195037,301.0735739498298
,,,,,,677.2440985961557,232.83109230092427,662.6192372503465,183.24050741835111
,,,,,,608.0615913359723,157.60903080945334,577.0708224988128,138.48906481585956
,,,,,,545.3572479097197,97.01008518121162,493.35597463523317,99.96170374880013
