polygon_id,vertex_id,x_px,y_px,lat,lon
0,0,1100,916,35.02057087529908,138.51589574155653
0,1,1093,956,35.01936960018971,138.5156387665198
0,2,1112,963,35.01915937523107,138.5163362701909
0,3,1161,1022,35.01738745767531,138.51813186813186
0,4,1170,1045,35.0166966997522,138.51846153846154
0,5,1174,1087,35.01543530066287,138.51860805860804
0,6,1168,1113,35.014654424809606,138.51838827838827
0,7,1180,1143,35.0137534049448,138.51882783882783
0,8,1174,1156,35.013362959920606,138.51860805860804
0,9,1153,1158,35.013302891289904,138.5178388278388
0,10,1152,1174,35.01282234065606,138.51780219780218
0,11,1578,1173,35.012852375153386,138.5334065934066
0,12,1568,1114,35.014624390974035,138.5330402930403
0,13,1544,1084,35.01552540124305,138.53216117216118
0,14,1464,1047,35.016636633570094,138.52923076923076
0,15,1295,943,35.01976001653609,138.52304029304028
0,16,1265,914,35.02063093859129,138.52194139194137
0,17,1254,912,35.020691001839346,138.52153846153846
0,18,1214,926,35.020270558176314,138.52007326007325
0,19,1123,917,35.02054084363646,138.51673992673992
0,20,1108,910,35.020751065043285,138.51618942731275
1,0,0,1175,35.01279230614768,138.47556776556775
1,1,550,1174,35.01282234065606,138.49571428571429
1,2,547,1042,35.01678679894264,138.4956043956044
1,3,491,1012,35.01768778538714,138.4935531135531
1,4,468,955,35.01939963228254,138.4927106227106
1,5,419,957,35.01933956808586,138.49091575091575
1,6,416,862,35.02219256870134,138.49080586080586
1,7,525,874,35.021832195169445,138.49479853479852
1,8,532,963,35.01915937523107,138.49505494505493
1,9,569,954,35.01942966436433,138.49641025641026
1,10,639,709,35.02678719199535,138.49897435897435
1,11,579,573,35.03087108480236,138.49677655677655
1,12,554,581,35.030630861461944,138.49586080586081
1,13,505,542,35.03180194357763,138.49406593406593
1,14,597,455,35.03441429706089,138.4974358974359
1,15,672,600,35.03006032819881,138.50018355359765
1,16,727,564,35.03114133521636,138.5022026431718
1,17,661,413,35.035675403338566,138.4997802197802
1,18,652,341,35.03783725453667,138.49945054945056
1,19,698,387,35.03645607842433,138.50113803230542
1,20,749,386,35.03648610424025,138.50301027900147
1,21,831,550,35.03156172297313,138.50602055800294
1,22,893,476,35.03378373662408,138.50829662261378
1,23,831,217,35.04156030863852,138.50602055800294
1,24,797,223,35.041380164765144,138.5047723935389
1,25,791,193,35.0422808801599,138.50455212922174
1,26,913,123,35.04438251079681,138.5090308370044
1,27,929,172,35.04291137502779,138.50961820851688
1,28,906,188,35.04243099842692,138.50877386196768
1,29,980,415,35.03561535109998,138.5114904552129
1,30,1007,376,35.036786361792394,138.51248164464022
1,31,968,163,35.04318158562448,138.51104992657855
1,32,1025,163,35.04318158562448,138.51314243759177
1,33,1074,324,35.03834768327878,138.51494126284874
1,34,1099,326,35.038287633004025,138.515859030837
1,35,1304,185,35.04252106925475,138.52336996336996
1,36,1229,68,35.04603375408287,138.5206227106227
1,37,0,64,35.04615384320167,138.47556776556775
