,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/11/10,07:00:00,34.868028333333335,136.68317166666668,295.0,312.2,1.9,2.3,257.9,8.2,0.0,-11556.850399999765,2960.7175852625815,5.1487212933832724,5.448917924726296,0.9774444444444443,0.30019663134302377,17.19999999999995,0.9337315279544732,-0.2890381906930523
1,2021/11/10,07:01:00,34.868430000000004,136.68260166666667,321.4,336.3,2.4,2.0,254.6,7.2,60.0,-11512.217199999548,2908.776051869764,5.609488215909775,5.86954227445693,1.2346666666666668,0.2600540585471549,14.89999999999999,1.193152332602068,-0.317473288614998
2,2021/11/10,07:02:00,34.86919666666667,136.68222333333333,345.2,350.9,3.7,3.2,262.3,6.7,120.0,-11427.025199999878,2874.2916295437385,6.0248765778844255,6.124360345248102,1.9034444444444445,0.09948376736367681,5.700000000000002,1.8940329965561964,-0.18904962587314228
3,2021/11/10,07:03:00,34.87048166666667,136.682065,2.5,5.9,5.3,4.8,252.9,5.7,180.0,-11284.235999999559,2859.8431332499435,0.04363323129985824,0.10297442586766545,2.7265555555555556,0.059341194567807204,3.4,2.7217563486023644,-0.16170212235339138
4,2021/11/10,07:04:00,34.872146666666666,136.68228666666667,5.8,3.3,6.4,6.1,249.0,5.6,240.0,-11099.221200000049,2880.010359279837,0.10122909661567112,0.05759586531581287,3.292444444444445,-0.043633231299858244,-2.5000000000000004,3.2893107668792907,0.14361440960107075
5,2021/11/10,07:05:00,34.87403333333334,136.682475,6.0,6.1,7.1,6.9,250.7,6.2,300.0,-10889.574799999564,2897.1362713753647,0.10471975511965978,0.1064650843716541,3.6525555555555553,0.001745329251994318,0.09999999999999934,3.6525499923967226,-0.006374908819130525
6,2021/11/10,07:06:00,34.876055,136.682785,7.8,6.5,7.6,7.1,236.0,7.0,360.0,-10664.927199999844,2925.3442684106244,0.1361356816555577,0.11344640137963143,3.9097777777777774,-0.022689280275926274,-1.2999999999999994,3.9087714374274563,0.08870243263989222
7,2021/11/10,07:07:00,34.87822,136.68312833333334,7.9,6.8,7.7,7.4,256.4,6.8,420.0,-10424.352400000069,2956.5859032466747,0.13788101090755203,0.11868238913561441,3.961222222222222,-0.019198621771937627,-1.1,3.960492216983193,0.07604533544348183
8,2021/11/10,07:08:00,34.88032166666667,136.68348,8.0,7.2,7.6,7.4,254.3,6.0,480.0,-10190.815199999897,2988.5870822308752,0.13962634015954636,0.12566370614359174,3.9097777777777774,-0.013962634015954628,-0.7999999999999995,3.9093966683154884,0.054589022419315944
9,2021/11/10,07:09:00,34.88236,136.683855,8.7,7.4,7.5,7.4,256.0,6.1,540.0,-9964.315600000115,3022.714389433915,0.15184364492350666,0.1291543646475804,3.8583333333333334,-0.02268928027592626,-1.2999999999999987,3.857340234303411,0.08753529536831464
10,2021/11/10,07:10:00,34.884445,136.68424666666667,9.0,7.2,7.4,7.4,249.5,5.7,600.0,-9732.630400000004,3058.358376766163,0.15707963267948966,0.12566370614359174,3.806888888888889,-0.03141592653589792,-1.7999999999999994,3.8050104190278553,0.11957726972609237
11,2021/11/10,07:11:00,34.88648333333333,136.68463,9.2,7.7,7.4,6.9,238.0,6.2,660.0,-9506.130800000221,3093.243145764669,0.16057029118347832,0.13439035240356337,3.806888888888889,-0.026179938779914952,-1.5000000000000004,3.8055843631458384,0.09965273365826113
12,2021/11/10,07:12:00,34.88851666666667,136.68501166666667,8.7,7.5,7.4,7.1,255.7,5.6,720.0,-9280.186799999829,3127.975305268367,0.15184364492350666,0.1308996938995747,3.806888888888889,-0.020943951023931956,-1.2000000000000002,3.8060539752461287,0.07972546556039736
