,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/10/16,07:15:00,35.544486666666664,140.03931333333333,329.4,332.1,0.6,0.9,21.8,0.8,0.0,1305.4747999995957,-1534.1431187476583,5.749114556069321,5.796238445873168,0.3086666666666667,0.047123889803847525,2.700000000000036,0.30832400807159477,-0.014540191119043231
1,2021/10/16,07:16:00,35.54465666666667,140.03922166666666,343.7,318.8,0.8,0.8,138.8,0.4,60.0,1324.3652000000652,-1542.4300765612572,5.9986966391045105,5.564109655357923,0.4115555555555556,-0.43458698374658766,-24.899999999999977,0.37329900321506526,0.17327962807924283
2,2021/10/16,07:17:00,35.54503166666667,140.03885166666666,304.9,278.4,2.9,2.8,98.4,1.5,120.0,1366.0351999998693,-1575.8821302844874,5.32150888933071,4.858996637552213,1.491888888888889,-0.46251225177849703,-26.499999999999982,1.3351426303589327,0.6656775596250445
3,2021/10/16,07:18:00,35.54513333333333,140.03746333333333,263.9,237.5,4.9,5.0,5.8,1.7,180.0,1377.3323999997704,-1701.4151261602808,4.605923896013035,4.145156973486532,2.520777777777778,-0.46076692252650275,-26.399999999999988,2.2578903005057294,1.1208264789076052
4,2021/10/16,07:19:00,35.544200000000004,140.03625666666667,200.4,184.3,5.5,4.8,207.1,1.3,240.0,1273.6204000002754,-1810.5332384382375,3.4976398209966364,3.2166418114255495,2.8294444444444444,-0.2809980095710869,-16.09999999999999,2.7184712400692375,0.7846464051494496
5,2021/10/16,07:20:00,35.542585,140.03637,153.5,128.5,5.9,5.9,165.1,0.8,300.0,1094.1616000001607,-1800.303630846995,2.6790804018112957,2.2427480888127134,3.0352222222222225,-0.43633231299858233,-24.999999999999996,2.750845535386685,1.2827403395522985
6,2021/10/16,07:21:00,35.54147833333333,140.037855,130.1,121.8,6.4,6.3,89.6,0.8,360.0,971.1887999995525,-1666.0383340921055,2.2706733568446227,2.1258110289290935,3.292444444444445,-0.14486232791552922,-8.299999999999992,3.2579586868546344,0.4752847720067595
7,2021/10/16,07:22:00,35.54038666666667,140.03982166666665,123.7,119.6,7.2,7.3,111.8,1.3,420.0,849.8828000002629,-1488.2171420623738,2.158972284716986,2.087413785385218,3.7039999999999997,-0.07155849933176794,-4.1000000000000245,3.694520659976216,0.26482653380827026
8,2021/10/16,07:23:00,35.53938,140.04177166666668,122.4,118.9,6.5,6.7,118.9,1.5,480.0,738.0220000000236,-1311.8999000676104,2.1362830044410597,2.075196480621258,3.343888888888889,-0.06108652381980173,-3.500000000000011,3.337651862056232,0.2041395330335026
9,2021/10/16,07:24:00,35.53850333333333,140.04347166666668,122.5,118.0,5.5,5.5,127.2,1.4,540.0,640.6067999996321,-1158.1856202712377,2.138028333693054,2.059488517353309,2.8294444444444444,-0.07853981633974483,-4.5,2.820722211501567,0.2219956525232857
