,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/06/16,07:37:00,34.59316,135.418265,159.1,161.4,7.8,8.6,40.9,3.8,0.0,1844.4068000001164,-834.6352092035849,2.7768188399229783,2.816961412718848,4.012666666666667,0.040142572795869746,2.3000000000000096,4.009434042795901,-0.16103550616898538
1,2021/06/16,07:38:00,34.59126,135.41897833333334,162.8,161.9,6.8,7.2,26.1,4.6,60.0,1633.2788000002129,-769.3857173623302,2.841396022246769,2.8256880589788196,3.498222222222222,-0.01570796326794932,-0.9000000000000203,3.4977906552280666,0.05494768647170814
2,2021/06/16,07:39:00,34.58958333333333,135.41960833333334,162.7,162.5,6.0,6.4,32.2,3.9,120.0,1446.9676000000295,-711.7575826654827,2.839650692994774,2.8361600344907854,3.0866666666666664,-0.003490658503988442,-0.19999999999998755,3.0866478616370463,0.010774477368323248
3,2021/06/16,07:40:00,34.58808833333333,135.42015166666667,163.9,163.4,5.3,5.3,39.0,3.5,180.0,1280.8432000001992,-662.056388853997,2.8605946440187062,2.8518679977587347,2.7265555555555556,-0.008726646259971549,-0.49999999999999434,2.7264517366746333,0.02379338384384395
4,2021/06/16,07:41:00,34.586765,135.42062,163.6,162.5,4.7,4.7,29.0,4.3,240.0,1133.7944000003704,-619.2152007957084,2.855358656262723,2.8361600344907854,2.4178888888888888,-0.019198621771937766,-1.100000000000008,2.4174433012754553,0.04641728267329443
5,2021/06/16,07:42:00,34.585595,135.42105166666667,161.9,160.1,4.3,3.9,30.9,3.4,300.0,1003.7840000001609,-579.7273493074865,2.8256880589788196,2.7942721324429214,2.212111111111111,-0.03141592653589819,-1.800000000000015,2.211019567813483,0.06948408916516237
6,2021/06/16,07:43:00,34.58450833333333,135.42151666666666,159.5,158.4,3.9,4.1,28.3,4.0,360.0,883.033600000258,-537.1890594323388,2.7838001569309556,2.7646015351590183,2.0063333333333335,-0.019198621771937322,-1.0999999999999828,2.005963590420059,0.03851646860124343
7,2021/06/16,07:44:00,34.583545,135.421965,157.6,156.1,3.7,3.7,17.3,3.1,420.0,775.9880000004938,-496.17466078980004,2.750638901143063,2.724458962363148,1.9034444444444445,-0.02617993877991509,-1.5000000000000084,1.9027921815729192,0.04982636682913083
8,2021/06/16,07:45:00,34.58260833333333,135.42245,156.6,155.5,3.7,3.8,41.6,2.4,480.0,671.9056000003557,-451.805102695532,2.73318560862312,2.7139869868511823,1.9034444444444445,-0.019198621771937766,-1.100000000000008,1.9030936627062098,0.036541265083231786
9,2021/06/16,07:46:00,34.58167,135.42296,154.9,153.5,3.6,3.9,16.9,3.1,540.0,567.6380000006839,-405.1478009209281,2.7035150113392166,2.6790804018112957,1.8519999999999999,-0.02443460952792087,-1.4000000000000148,1.851447159074751,0.045248393938714104
10,2021/06/16,07:47:00,34.580799999999996,135.423475,152.2,150.7,3.4,3.6,38.5,2.0,600.0,470.9636000000012,-358.03237305359426,2.6563911215353695,2.6302111827554544,1.749111111111111,-0.02617993877991509,-1.5000000000000084,1.748511734418358,0.045786391140282386
11,2021/06/16,07:48:00,34.58002666666667,135.42398,150.8,147.3,3.0,3.1,54.9,2.7,660.0,385.03080000062255,-311.831179282228,2.631956512007449,2.570869988187648,1.5433333333333332,-0.061086523819801286,-3.499999999999986,1.5404547055644147,0.09421824601546205
12,2021/06/16,07:49:00,34.579375,135.424455,147.1,141.1,2.6,2.4,26.8,3.1,720.0,312.6176000002715,-268.37409629694884,2.5673793296836585,2.462659574563999,1.3375555555555556,-0.10471975511965947,-5.999999999999983,1.3302282862714752,0.13981262675733433
13,2021/06/16,07:50:00,34.578858333333336,135.42494,139.2,138.7,2.2,2.3,32.0,3.5,780.0,255.2056000007341,-224.00157541016196,2.4294983187761066,2.420771672516135,1.131777777777778,-0.008726646259971549,-0.49999999999999434,1.131734683147961,0.009876498954048435
14,2021/06/16,07:51:00,34.578415,135.425385,139.7,136.9,1.9,1.8,28.8,3.2,840.0,205.94240000036223,-183.28836736377798,2.438224965036078,2.3893557459802373,0.9774444444444443,-0.04886921905584085,-2.7999999999999785,0.9762775100213994,0.047747936099111835
15,2021/06/16,07:52:00,34.578071666666666,135.42576166666666,138.6,135.7,1.5,1.7,23.6,3.2,900.0,167.79120000035903,-148.82680198772536,2.419026343264141,2.368411794956305,0.7716666666666666,-0.05061454830783596,-2.900000000000023,0.7706784372937969,0.03904088542586408
16,2021/06/16,07:53:00,34.57778833333333,135.42608833333333,135.5,134.6,1.4,1.5,19.6,2.2,960.0,136.30720000010342,-118.93965511272617,2.3649211364523164,2.3492131731843675,0.7202222222222221,-0.015707963267948877,-0.8999999999999949,0.7201333701940137,0.011312758979469002
17,2021/06/16,07:54:00,34.57753,135.42643166666667,129.5,134.2,1.3,1.4,36.9,3.4,1020.0,107.60120000072958,-87.52752323168858,2.260201381332657,2.34223185617639,0.6687777777777778,0.08203047484373327,4.699999999999988,0.666528936806418,-0.054798653716023896
18,2021/06/16,07:55:00,34.57729666666667,135.42674833333334,132.5,133.7,1.2,1.4,37.1,3.4,1080.0,81.67320000065837,-58.5550803022296,2.3125612588924866,2.333505209916418,0.6173333333333334,0.02094395102393154,1.1999999999999762,0.6171979419318047,-0.012928453874658775
19,2021/06/16,07:56:00,34.57707666666667,135.42702666666668,133.4,133.4,1.1,1.0,25.4,2.6,1140.0,57.226800000794356,-33.08976364326799,2.3282692221604355,2.3282692221604355,0.565888888888889,0.0,0.0,0.565888888888889,-0.0
20,2021/06/16,07:57:00,34.57689,135.427255,135.6,133.5,0.9,0.7,27.7,2.9,1200.0,36.48440000026368,-12.199004902214774,2.3666664657043106,2.3300145514124297,0.46299999999999997,-0.03665191429188086,-2.0999999999999965,0.4626890463195178,0.016966037131135526
21,2021/06/16,07:58:00,34.57673833333333,135.42743333333334,136.9,134.1,0.6,0.8,29.7,3.5,1260.0,19.63120000017796,4.117167909975751,2.3893557459802373,2.340486526924396,0.3086666666666667,-0.04886921905584129,-2.8000000000000034,0.30829816105938934,0.015078295610245979
