,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2020/10/29,12:45:00,35.54382,140.02420833333332,340.6,15.3,1.0,1.1,14.1,3.2,0.0,1234.9135999993064,-2899.3622745603802,5.944591432292687,0.26703537555513246,0.5144444444444445,0.6056292504420322,34.69999999999999,0.42294743444136834,-0.2928626881649787
1,2020/10/29,12:46:00,35.54412166666667,140.02408833333334,348.9,53.0,1.2,1.1,12.3,3.2,60.0,1268.434799999948,-2910.2073699138527,6.089453760208215,0.9250245035569946,0.6173333333333334,1.118756050528366,64.10000000000005,0.2696523040189945,-0.5553270022083315
2,2020/10/29,12:47:00,35.544378333333334,140.0242,65.4,86.0,1.2,1.1,25.3,2.8,120.0,1296.955599999787,-2900.1056918610793,1.1414453308042916,1.5009831567151235,0.6173333333333334,0.35953782591083194,20.600000000000005,0.5778607533961929,-0.21720357761516929
3,2020/10/29,12:48:00,35.544403333333335,140.02484666666666,90.7,88.9,2.4,2.7,25.8,3.3,180.0,1299.7335999998793,-2841.6329454920306,1.583013631558857,1.551597705022959,1.2346666666666668,-0.03141592653589797,-1.800000000000002,1.2340574331982235,0.038781817208462445
4,2020/10/29,12:49:00,35.544383333333336,140.02588166666666,93.4,91.1,3.4,3.3,28.1,2.9,240.0,1297.5111999999633,-2748.0474767514397,1.6301375213627038,1.589994948566834,1.749111111111111,-0.040142572795869746,-2.3000000000000096,1.747702018654623,0.07019496422750643
5,2020/10/29,12:50:00,35.54434,140.02718666666667,89.4,90.7,4.1,3.8,8.6,2.7,300.0,1292.6959999994854,-2630.0486712434135,1.5603243512829308,1.583013631558857,2.109222222222222,0.022689280275926205,1.2999999999999954,2.1086793280858642,-0.04785262813467855
6,2020/10/29,12:51:00,35.54428333333333,140.02862333333334,97.8,102.2,4.5,4.1,20.1,2.7,360.0,1286.3991999995944,-2500.1445604987466,1.7069320084504542,1.7837264955382048,2.315,0.07679448708775061,4.400000000000007,2.30817712140532,-0.1776045501135854
7,2020/10/29,12:52:00,35.544,140.030215,103.4,106.1,4.8,4.7,41.3,5.2,420.0,1254.9151999993387,-2356.228405583672,1.8046704465621368,1.8517943363659835,2.4693333333333336,0.04712388980384663,2.6999999999999846,2.466592064572758,-0.11632152895234363
8,2020/10/29,12:53:00,35.543645,140.03171833333334,106.1,109.3,4.4,4.3,26.6,4.2,480.0,1215.4675999994502,-2220.2999632262445,1.8517943363659835,1.907644872429802,2.263555555555556,0.055850536063818616,3.200000000000004,2.260026138657258,-0.12635507774674828
9,2020/10/29,12:54:00,35.54324166666667,140.03302666666667,112.6,109.6,4.0,4.1,24.6,3.5,540.0,1170.6491999996997,-2102.003784283518,1.965240737745615,1.9128808601857852,2.057777777777778,-0.05235987755982974,-2.9999999999999916,2.054957664850523,0.10769576773547967
10,2020/10/29,12:55:00,35.54288833333333,140.034155,109.2,104.9,3.1,3.2,31.8,3.5,600.0,1131.3867999993436,-1999.9823390826584,1.9058995431778079,1.8308503853420517,1.5947777777777776,-0.07504915783575616,-4.3,1.5902886912762206,0.11957440734869793
11,2020/10/29,12:56:00,35.54268666666667,140.03506,102.2,108.5,2.5,2.4,23.4,3.4,660.0,1108.9775999998612,-1918.1529058795861,1.7837264955382048,1.8936822384138476,1.2861111111111112,0.1099557428756428,6.3000000000000025,1.278344228821523,-0.14113051676431662
12,2020/10/29,12:57:00,35.542515,140.035775,110.9,119.2,2.0,1.8,32.7,2.7,720.0,1089.9019999998613,-1853.5031297458534,1.9355701404617116,2.080432468377241,1.028888888888889,0.14486232791552942,8.300000000000004,1.0181120896420732,-0.1485264912521125
13,2020/10/29,12:58:00,35.54228666666667,140.03635166666666,118.9,124.0,1.8,1.8,15.4,2.7,780.0,1064.529599999965,-1801.3622607390394,2.075196480621258,2.1642082724729685,0.9259999999999999,0.08901179185171058,5.099999999999987,0.9223340265703727,-0.08231611889832463
14,2020/10/29,12:59:00,35.54203666666667,140.03682833333335,124.3,125.4,1.6,1.5,24.2,2.3,840.0,1036.749599999834,-1758.2637203164854,2.1694442602289516,2.1886428820008894,0.8231111111111112,0.019198621771937766,1.100000000000008,0.8229594217107935,-0.015801628144100237
15,2020/10/29,13:00:00,35.541808333333336,140.03723833333333,122.0,113.7,1.4,1.3,36.2,2.6,900.0,1011.3771999999392,-1721.1929829870867,2.129301687433082,1.9844393595175527,0.7202222222222221,-0.14486232791552922,-8.299999999999992,0.712678462749451,0.10396854387647861
16,2020/10/29,13:01:00,35.54164333333333,140.03763833333332,115.7,102.2,1.2,1.2,8.5,2.1,960.0,993.0423999996465,-1685.0257015132906,2.0193459445574393,1.7837264955382048,0.6173333333333334,-0.23561944901923448,-13.5,0.6002763641921657,0.14411360462037895
17,2020/10/29,13:02:00,35.541525,140.03799333333333,111.0,93.8,1.1,1.0,14.9,3.4,1020.0,979.8931999996823,-1652.9268873051697,1.9373154697137058,1.6371188383706812,0.565888888888889,-0.30019663134302466,-17.2,0.5405814109210108,0.16733789987492553
18,2020/10/29,13:03:00,35.54143166666667,140.03830666666667,108.3,88.0,0.9,1.1,14.7,2.3,1080.0,969.5219999998114,-1624.5953876817603,1.8901915799098588,1.53588974175501,0.46299999999999997,-0.35430183815484884,-20.299999999999997,0.4342425767253086,0.16063120667841743
19,2020/10/29,13:04:00,35.541351666666664,140.03857333333335,111.9,98.1,0.8,0.8,3.2,2.2,1140.0,960.6323999993601,-1600.4834528005676,1.953023432981655,1.7121679962064371,0.4115555555555556,-0.2408554367752178,-13.80000000000002,0.39967570808725467,0.09816976965234055
20,2020/10/29,13:05:00,35.54125666666667,140.03882166666668,121.6,113.3,0.8,0.6,356.8,2.3,1200.0,950.075999999957,-1578.0293934672043,2.1223203704251046,1.9774580425095754,0.4115555555555556,-0.14486232791552922,-8.299999999999992,0.4072448358568293,0.05941059650084494
21,2020/10/29,13:06:00,35.541113333333335,140.03905166666667,128.4,116.9,0.8,0.8,340.2,1.9,1260.0,934.1487999999019,-1557.233529903277,2.241002759560719,2.0402898955813713,0.4115555555555556,-0.20071286397934787,-11.499999999999998,0.40329345621283924,0.08205098100903316
