,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/04/02,08:13:00,35.53937,140.01692166666666,63.3,49.5,0.6,0.7,25.3,5.7,0.0,737.6516000001692,-3556.673274882146,1.1047934165124105,0.8639379797371931,0.3086666666666667,-0.24085543677521737,-13.799999999999994,0.299756781065441,0.07362732723925527
1,2021/04/02,08:14:00,35.53944666666666,140.01708833333333,49.5,46.1,0.6,0.7,30.4,6.7,60.0,746.170799999975,-3541.600932940711,0.8639379797371931,0.8045967851693859,0.3086666666666667,-0.05934119456780717,-3.399999999999998,0.3081233602191356,0.018305900643780144
2,2021/04/02,08:15:00,35.539625,140.017235,32.7,54.8,1.0,1.2,27.0,6.9,120.0,765.9872000004783,-3528.3348456137587,0.5707226654021458,0.9564404300928926,0.5144444444444445,0.3857177646907468,22.099999999999998,0.47664750677073414,-0.19354648203725142
3,2021/04/02,08:16:00,35.53988666666667,140.01767166666667,69.8,79.6,2.1,2.0,22.5,6.7,180.0,795.063600000496,-3488.844116247999,1.218239817892042,1.3892820845874863,1.0803333333333334,0.1710422666954443,9.8,1.0645689996616639,-0.18388299559903717
4,2021/04/02,08:17:00,35.539941666666664,140.01895666666667,86.6,77.6,5.0,4.5,28.6,6.0,240.0,801.1752000000672,-3372.648626773665,1.5114551322270893,1.3543754995475996,2.5722222222222224,-0.15707963267948966,-9.0,2.5405538983086045,0.40238420729792723
5,2021/04/02,08:18:00,35.540185,140.02098666666666,80.2,77.0,6.5,6.5,27.2,5.8,300.0,828.2144000004911,-3189.0839331345283,1.3997540600994522,1.3439035240356338,3.343888888888889,-0.0558505360638184,-3.1999999999999917,3.338674977561858,0.18666091030769558
6,2021/04/02,08:19:00,35.54051,140.02337,82.0,83.0,7.5,7.5,26.7,6.5,360.0,864.3284000001107,-2973.568716479243,1.4311699866353502,1.4486232791552935,3.8583333333333334,0.01745329251994332,1.0000000000000013,3.8577456904784095,-0.0673372015038523
7,2021/04/02,08:20:00,35.540546666666664,140.02596,95.1,97.2,8.0,8.4,24.5,6.6,420.0,868.4028000000858,-2739.3718618223584,1.6598081186466074,1.6964600329384885,4.115555555555556,0.03665191429188108,2.1000000000000094,4.112791522840159,-0.15080921894342783
8,2021/04/02,08:21:00,35.540115,140.02875,101.5,97.7,8.3,8.6,27.1,6.3,480.0,820.4360000003908,-2487.097732288383,1.7715091907742444,1.70518667919846,4.2698888888888895,-0.0663225115757844,-3.7999999999999936,4.260501402777244,0.28298219094128907
9,2021/04/02,08:22:00,35.53968166666667,140.03152666666668,100.5,97.5,8.4,8.3,26.7,5.7,540.0,772.2840000003713,-2236.0279178706323,1.7540558982543013,1.7016960206944713,4.3213333333333335,-0.05235987755982996,-3.0000000000000044,4.315411096186098,0.22616111224450827
10,2021/04/02,08:23:00,35.539255,140.03429666666668,100.6,97.8,8.5,8.5,36.9,6.5,600.0,724.8728000000607,-1985.5594909516424,1.7558012275062955,1.7069320084504542,4.372777777777777,-0.04886921905584129,-2.8000000000000034,4.3675572816746815,0.213609187811818
11,2021/04/02,08:24:00,35.538804999999996,140.03712333333334,101.9,100.5,8.5,8.5,21.1,6.5,660.0,674.8687999999798,-1729.965945188089,1.778490507782222,1.7540558982543013,4.372777777777777,-0.02443460952792065,-1.4000000000000021,4.371472458926496,0.10683648568862958
12,2021/04/02,08:25:00,35.53825666666667,140.03989833333333,104.2,101.4,8.0,8.5,27.5,5.2,720.0,613.9380000006418,-1479.043802935891,1.8186330805780915,1.7697638615222502,4.115555555555556,-0.04886921905584129,-2.8000000000000034,4.110642147458525,0.2010439414699464
13,2021/04/02,08:26:00,35.53774,140.042365,104.6,101.1,6.9,6.6,21.5,3.9,780.0,556.526000000315,-1256.0006877630988,1.8256143975860686,1.764527873766267,3.549666666666667,-0.061086523819801515,-3.499999999999999,3.543045822798154,0.21670196583556356
14,2021/04/02,08:27:00,35.537288333333336,140.04438,109.1,110.4,6.0,5.6,16.1,4.9,840.0,506.3368000007017,-1073.7977074412966,1.9041542139258134,1.9268434942017398,3.0866666666666664,0.022689280275926427,1.3000000000000083,3.0858721874427286,-0.07002823629465223
15,2021/04/02,08:28:00,35.53664,140.04613333333333,117.1,116.9,5.5,5.6,17.4,4.9,900.0,434.2940000002051,-915.2561163969243,2.0437805540853597,2.0402898955813713,2.8294444444444444,-0.003490658503988442,-0.19999999999998755,2.829427206500626,0.009876604254296312
16,2021/04/02,08:29:00,35.53593166666667,140.047655,120.2,120.2,4.9,5.0,16.9,4.6,960.0,355.5840000007504,-777.6621786433569,2.097885760897184,2.097885760897184,2.520777777777778,0.0,0.0,2.520777777777778,-0.0
17,2021/04/02,08:30:00,35.535245,140.04891333333333,126.2,123.0,4.1,4.4,15.2,4.7,1020.0,279.28160000074337,-663.8791778488873,2.202605516016844,2.1467549799530254,2.109222222222222,-0.055850536063818616,-3.200000000000004,2.1059334473851714,0.11773995880946996
18,2021/04/02,08:31:00,35.53462833333333,140.04990666666666,127.1,123.2,3.4,3.2,12.5,4.0,1080.0,210.7576000000483,-574.0580039344379,2.218313479284793,2.150245638457014,1.749111111111111,-0.06806784082777906,-3.900000000000012,1.7450606574922332,0.11896630062803777
19,2021/04/02,08:32:00,35.53411,140.05072,129.2,125.8,2.9,2.8,12.4,4.9,1140.0,153.1604000001887,-500.51267782380427,2.2549653935766734,2.1956241990088667,1.491888888888889,-0.05934119456780662,-3.3999999999999666,1.489262907725822,0.0884785197782699
20,2021/04/02,08:33:00,35.53364,140.05137166666665,134.2,128.2,2.2,2.4,23.7,5.8,1200.0,100.93400000019244,-441.58579998346414,2.34223185617639,2.2375121010567303,1.131777777777778,-0.10471975511965992,-6.000000000000009,1.1255777806912481,0.1183029918715911
21,2021/04/02,08:34:00,35.533253333333334,140.05171,153.2,121.5,1.4,1.5,17.6,5.2,1260.0,57.96760000050312,-410.9922793322769,2.6738444140553126,2.1205750411731104,0.7202222222222221,-0.5532693728822022,-31.69999999999999,0.6127730679207445,0.37845636025004864
22,2021/04/02,08:35:00,35.53297,140.05190333333334,147.7,108.0,1.0,0.8,8.9,4.4,1320.0,26.483600000247517,-393.51035430462383,2.5778513051956247,1.8849555921538759,0.5144444444444445,-0.6928957130417488,-39.699999999999996,0.3958133266519027,0.32861055501080194
23,2021/04/02,08:36:00,35.53283,140.05215166666667,110.0,97.5,0.9,0.9,24.8,3.4,1380.0,10.92680000004691,-371.05451461378397,1.9198621771937625,1.7016960206944713,0.46299999999999997,-0.21816615649929116,-12.499999999999998,0.4520250512965291,0.10021154125334161
24,2021/04/02,08:37:00,35.532781666666665,140.052445,100.3,95.9,0.9,1.6,17.4,4.6,1440.0,5.556000000184341,-344.52919550923264,1.7505652397503124,1.673770752662562,0.46299999999999997,-0.07679448708775038,-4.399999999999993,0.461635424281064,0.03552091002271698
25,2021/04/02,08:38:00,35.532755,140.05293,86.9,87.3,1.9,2.1,19.0,3.4,1500.0,2.592800000559698,-300.67185444904476,1.5166911199830724,1.5236724369910497,0.9774444444444443,0.006981317007977328,0.4000000000000006,0.9774206248128174,-0.006823794093463095
26,2021/04/02,08:39:00,35.532783333333334,140.05369833333333,88.8,86.6,2.3,2.0,3.1,6.2,1560.0,5.74120000050641,-231.1932538412179,1.5498523757709646,1.5114551322270893,1.1832222222222222,-0.038397243543875303,-2.2000000000000033,1.1823500885396339,0.04542130877477782
27,2021/04/02,08:40:00,35.532788333333336,140.054395,87.5,85.3,1.9,1.9,18.6,4.3,1620.0,6.296800000682766,-168.1953476334716,1.5271630954950384,1.488765851951163,0.9774444444444443,-0.038397243543875303,-2.2000000000000033,0.9767239861849148,0.03752195072699037
28,2021/04/02,08:41:00,35.532833333333336,140.05496833333333,82.9,85.8,1.6,1.8,37.3,3.6,1680.0,11.297200000690747,-116.35015407681799,1.4468779499032993,1.4974924982111346,0.8231111111111112,0.05061454830783529,2.899999999999985,0.8220569997800503,-0.04164361112092114
29,2021/04/02,08:42:00,35.532896666666666,140.05546833333332,82.8,88.4,1.4,1.4,9.0,3.8,1740.0,18.33480000029283,-71.13633555865175,1.4451326206513049,1.5428710587629875,0.7202222222222221,0.09773843811168259,5.600000000000008,0.7167848896313588,-0.07028137291542307
30,2021/04/02,08:43:00,35.53294666666667,140.05585,79.9,91.4,1.0,1.2,359.0,3.4,1800.0,23.89080000047727,-36.62314439196003,1.3945180723434694,1.5952309363228172,0.5144444444444445,0.20071286397934787,11.499999999999998,0.504116820266049,-0.10256372626129144
31,2021/04/02,08:44:00,35.532915,140.05613666666667,121.0,89.8,0.6,0.6,7.0,3.7,1860.0,20.37200000067628,-10.700591623712592,2.111848394913139,1.567305668290908,0.3086666666666667,-0.5445427266222309,-31.200000000000006,0.2640224349695431,0.15989767022650622
32,2021/04/02,08:45:00,35.53282,140.05624833333334,159.4,84.0,0.3,0.5,353.3,3.3,1920.0,9.815600000483755,-0.6028505877769446,2.7820548276789614,1.4660765716752369,0.15433333333333335,-1.3159782560037245,-75.4,0.03890270428885387,0.1493497819777176
33,2021/04/02,08:46:00,35.532741666666666,140.05627,171.8,81.9,0.2,0.7,29.3,3.0,1980.0,1.11120000035271,1.3564144891245926,2.9984756549262586,1.429424657383356,0.1028888888888889,-1.5690509975429026,-89.90000000000002,0.00017957489631350941,0.10288873218018939
34,2021/04/02,08:47:00,35.532715,140.05626,165.1,79.7,0.0,0.4,42.5,3.5,2040.0,-1.8519999992719247,0.4521382390387223,2.8815385950426378,1.3910274138394807,0.0,-1.490511181203157,-85.39999999999998,0.0,0.0
