start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
-1900.0,0.0,0.0,0.0,3.0,666.96,-1642.7774130102703,408.72162849762145,-1571.3107820066914,354.72621769450103
,,,,,,-1497.0785109108551,634.208532860026,-1316.0607240001575,383.79507231765547
,,,,,,-1275.6619001479119,742.1727176715505,-1087.4909350981015,411.2162937988075
,,,,,,-1054.84669681128,644.6274964726272,-881.7884273901426,417.93822270638736
,,,,,,-871.3273034505143,523.2910289066747,-699.1125809390469,414.06009507255186
,,,,,,-715.3661946537716,418.1530922277538,-554.4782533675972,342.5734135256009
,,,,,,-578.1104018689038,328.8938760732474,-433.1132846899923,275.00900199674084
,,,,,,-452.22568501865163,250.78617730158047,-330.4971491204433,216.6153370226665
,,,,,,-345.16630709398873,187.37239149721825,-246.94479330548674,163.67028886540544
,,,,,,-255.09175901111368,136.15481609323788,-182.13008909851183,114.52011619569258
