x [m],y [m]
500,1500
373.3322949,-684.3754064
359.8683512,-539.2249386
326.2782403,-403.9806731
286.248444,-276.549468
237.9203642,-153.0446996
109.1410053,-152.4546894
108.8812708,-160.4290448
85.66924436,-160.1614277
85.1553063,-153.2629424
28.3059063,-153.9021663
29.35533752,-158.5333604
8.270161404,-158.1630802
3.601995876,-152.6638979
-56.01901289,-153.3507407
-55.8623547,-158.4621094
-71.21131864,-157.7282127
-72.35905632,-133.4394862
-60.19434244,-135.5561383
-60.62154613,-143.0020598
176.6845796,-143.7959829
177.305174,-136.081132
127.7294874,-135.9316507
97.70874247,-133.5221656
61.35147229,-69.12179657
85.48058525,-35.56781748
63.98473064,-15.21307306
38.1045009,-14.65894992
34.34000639,-16.84859407
-18.38404121,-15.55768112
-21.50911718,-12.29024796
-51.82370786,-11.81201887
-58.50831208,-15.7784213
-59.16005756,-6.026303904
-50.10529042,-8.661068293
-23.50324903,-9.734072785
-20.09960692,-7.284913663
36.62710621,-7.577615149
39.4432721,-8.99066862
64.72446326,-8.09386519
94.54900661,-34.94799776
71.52127394,-71.53829683
102.5507069,-126.5985937
176.8583792,-131.3732277
178.4878004,-109.6937731
155.598448,-108.0257989
154.7907971,-103.0583847
179.6035484,-106.6195786
188.2077881,-1.202869793
76.85565537,62.44862435
88.02573356,167.2461492
67.21568541,171.8056069
63.76077964,157.865408
57.04229228,159.9424223
60.96423253,198.1329016
66.23927723,197.0939012
65.87549276,185.9295864
88.42271581,182.2632131
93.44464178,237.2096707
65.95004668,237.8028055
66.38096108,246.7765208
95.04398787,240.9563573
95.64595194,250.9292514
66.6740471,258.6038391
71.00598577,286.7060273
75.44022466,286.7817516
74.00962182,262.7141652
93.58475049,255.6761099
100.6002641,317.9627544
78.43271338,319.1118334
74.71785929,297.1969817
71.05731104,298.1971527
80.00169772,391.3348134
84.79678506,391.1510173
77.98600891,323.8198633
101.5969849,321.6327462
101.3213351,327.3399618
110.1378206,325.8964763
121.6103827,473.9387074
115.3906248,472.9026714
115.4081918,490.4373872
379.3032656,467.0450516
378.8257264,489.2204898
67.06005412,512.6591249
73.24851463,541.0590445
-96.73631672,545.0636827
-100.7062539,557.8146862
35.77358448,552.7066372
36.23003718,643.1767667
-60.53847926,647.1699917
-63.49286969,661.333216
79.77568288,653.4844934
82.56376232,690.8595412
131.864716,689.3763698
122.9792995,871.3464174
263.9572315,893.8102951
241.5395604,1011.854348
-403.5725585,1034.05058
-615.2737121,1506.875686
-543.741508,1550.011026
-503.8510578,1493.56917
-179.5765288,1502.561376
-188.240613,1589.293946
500,1500
