x [m],y [m]
150,-50
-400,-50
-340,-120
-140,-120
0,-400
0,-600
-1000,0
700,2300
1200,2000
1000,1600
1300,1400
500,220
0,220
-400,500
-600,300
-330,-20
150,-20
150,-50
