t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],delta_rudder [rad],n_prop [rps],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_cmd [rad],n_prop_cmd [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],delta_rudder_hat [rad],n_prop_hat [rps],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
0.0,0.0,0.1,-10.0,0.0,0.0,0.0,0.0,1e-08,0.2,1.5707963267948966,0.0,10.0,-0.034726489413603526,0.10289755802327752,-9.976574377923248,0.005439736447085796,-0.0016779292461252305,0.0018692627532138524,0.0,1e-08,0.2,1.5707963267948966,0,0.22360679774997896,2.0344439357957027,0.22360679774997896,2.0344439357957027
0.1,0.010000000000000002,0.0999765395970585,-10.0,-2.999965245702997e-06,0.0,-7.92769793007215e-07,0.0,2.00000001,0.20090785745334006,1.5848151272205107,0.0,10.0,0.07728917187204043,0.09386160836982776,-9.998583664507278,0.01753934685919183,-0.0023352153992319833,0.0005674418744582603,0.0,2.00000001,0.20090785745334006,1.5848151272205107,0,0.22566264159957813,2.0437480355498834,0.22566264159957813,2.0437480355498834
0.2,0.019997653959705854,0.0999667018761224,-10.000000299996525,-5.997022814032595e-06,-7.92769793007215e-08,-1.5243984810050924e-06,0.0,4.00000001,0.2014850725106744,1.5603010232537329,0.0,10.0,-0.009776694382293286,0.08591199105018438,-10.006933165251231,-0.006894467872410281,0.002644279160473472,-0.0010542573426470237,0.0,4.00000001,0.2014850725106744,1.5603010232537329,0,0.22398485403333074,2.022911670523901,0.22398485403333074,2.022911670523901
0.30000000000000004,0.02999432414727052,0.10000586433811161,-10.000000900491312,-9.0315979997034e-06,-2.3171682740123076e-07,-2.3069005880252305e-06,0.0,6.00000001,0.2018137055470867,1.5608070050368423,0.0,10.0,0.03033987369483174,0.08873408425478778,-9.98995951122996,0.003829883887647743,0.0004148695628973835,0.001082261072203375,0.0,6.00000001,0.2018137055470867,1.5608070050368423,0,0.22434434683062787,2.022816538224927,0.22434434683062787,2.022816538224927
0.4,0.03999491058087214,0.10012947491428961,-10.000001805968417,-1.2065333077177336e-05,-4.6240688620375383e-07,-3.068089466599578e-06,0.0,8.00000001,0.20100505353009415,1.5391741634906884,0.0,10.0,0.05102100020760359,0.09377458698089336,-10.002333421175999,0.02248561304672194,0.0004015052963313948,0.00018440802318435176,0.0,8.00000001,0.20100505353009415,1.5391741634906884,0,0.22172310043138055,2.007477916257814,0.22172310043138055,2.007477916257814
0.5,0.05000785807174212,0.10037288511863292,-10.00000301713178,-1.5093978593494764e-05,-7.692158328637117e-07,-3.871844869990928e-06,0.0,10.0,0.20321265305687383,1.5325550741110416,0.0,10.0,0.10388590632965802,0.09905930713714996,-10.0347498209218,-0.009304007142127027,0.0019327883471135763,0.0013270142514501516,0.0,10.0,0.20321265305687383,1.5325550741110416,0,0.22319637891255747,1.9986275034061143,0.22319637891255747,1.9986275034061143
0.6,0.060045146582441394,0.10077145830351637,-10.00000453425048,-1.818257435027139e-05,-1.1564003198628045e-06,-4.681334827555604e-06,0.0,10.0,0.20279412215089077,1.5173519014365309,0.0,10.0,0.0007775744118981506,0.10059082354680668,-9.952523695517717,0.011102688676446868,-0.0013576005909673677,0.002032937827079826,0.0,10.0,0.20279412215089077,1.5173519014365309,0,0.22159519087252896,1.9887258803712442,0.22159519087252896,1.9887258803712442
0.7,0.07012229241068366,0.10116973903659457,-10.00000636416113,-2.126909785410684e-05,-1.624533802618365e-06,-5.517952721642419e-06,0.0,10.0,0.20379789545844645,1.5121791636890314,0.0,10.0,0.04358316944182748,0.10766586555162135,-10.005322456501082,-0.005539627684493282,0.001105430984732925,-0.00038071256925077657,0.0,10.0,0.20379789545844645,1.5121791636890314,0,0.22217525846089006,1.9840854886299988,0.22217525846089006,1.9840854886299988
0.7999999999999999,0.08023926631087452,0.10156773860990198,-10.000008507506282,-2.4381663709223485e-05,-2.176329074782607e-06,-6.355459650993011e-06,0.0,10.0,0.20467480459521648,1.5001633612245198,0.0,10.0,0.06866970542257937,0.08285134857654328,-9.965239121127473,0.0009119370887538468,0.0008055099814750014,-0.0029778513335887973,0.0,10.0,0.20467480459521648,1.5001633612245198,0,0.2219990594420221,1.9740895300003363,0.2219990594420221,1.9740895300003363
0.8999999999999999,0.09039604016653442,0.10196544567971517,-10.000010967777134,-2.7523713588118066e-05,-2.8118750398819077e-06,-7.2134839587066034e-06,0.0,10.0,0.2061268396569386,1.480228716187413,0.0,10.0,0.10098182582680451,0.11252121804762782,-10.035780568612566,0.0010637146122868283,-0.0018953492502457564,6.815960991522203e-05,0.0,10.0,0.2061268396569386,1.480228716187413,0,0.22157342060444102,1.9563281284883063,0.22157342060444102,1.9563281284883063
