t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder [rad],n_prop [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,3.141592653589793,0.0,10.0,-0.034726489413603526,0.10289755802327752,0.023425622076752955,0.005439736447085796,-0.0016779292461252305,0.0018692627532138524,0.2,3.141592653589793,0,0.30000000000000004,3.141592653589793,0.30000000000000004,3.141592653589793
0.1,0.010000000000000002,0.10039964486067626,0.0,8.280287178907829e-23,0.0,-1.2283581554404506e-22,0.20085472247156644,3.150541724886383,0.0,10.0,0.03235187807985489,0.11144311724439941,0.06728917187204042,-0.006114931227230745,8.239905886952976e-05,0.003061717106132066,0.20085472247156644,3.150541724886383,0,0.30125168689374776,-3.1356260483125076,0.30125168689374776,-3.1356260483125076
0.2,0.02003996448606763,0.1007990256652958,8.28028717890783e-24,1.2210408240867964e-08,-1.2283581554404507e-23,-1.811004116751649e-08,0.19922319984725118,3.154674424296511,0.0,10.0,-0.0006335669935631748,0.10060080756537658,0.01424259737992694,-0.019311001951162296,-0.0017322013706786655,-0.00245302790332427,0.19922319984725118,3.154674424296511,0,0.30001649839897504,-3.132905921736374,0.30001649839897504,-3.132905921736374
0.30000000000000004,0.030119867052597213,0.10119813221239694,1.2210408240868046e-09,2.9574644722540966e-08,-1.8110041167516613e-09,-4.372546864889764e-08,0.19894269783919455,3.145929762083976,0.0,10.0,0.07557304044835308,0.09516641674688753,0.05141053584772936,-0.004062462333304118,0.0004736971649138063,6.9490541148272e-05,0.19894269783919455,3.145929762083976,0,0.3001401992575193,-3.1387177821622636,0.3001401992575193,-3.1387177821622636
0.4,0.04023968027383691,0.1015969690066407,4.160178272936478e-09,3.531323845493896e-08,-6.183550981641425e-09,-5.191856583947609e-08,0.19895821302662006,3.1316210431865352,0.0,10.0,0.05028106953518769,0.10543588449228815,0.007135069579791145,0.006214152056839128,-0.0014298594004581123,-0.0005194256107632711,0.19895821302662006,3.1316210431865352,0,0.3005518381772742,3.134991866238572,0.3005518381772742,3.134991866238572
0.5,0.050399377174501006,0.10199553685479269,7.628679114687093e-09,2.229324935662415e-08,-1.1375407565589034e-08,-3.222999345111976e-08,0.19815355846727264,3.1099882012312143,0.0,10.0,0.06142546680123246,0.09564064892139644,-0.0023316075789042105,0.022497700673048477,0.00040195632781003294,0.00018744388265750023,0.19815355846727264,3.1099882012312143,0,0.30011546690521407,3.120727610988227,0.30011546690521407,3.120727610988227
0.6,0.0605989308599803,0.1023938328498188,9.741979970190076e-09,-1.8478012397694246e-08,-1.4598406910701009e-08,2.8319889053784408e-08,0.19946474435692102,3.1258103922783973,0.0,10.0,0.11498571177293532,0.097178993117206,0.05387805799989587,-0.0013135964594953617,-0.002021501700674545,-0.0016211928664659721,0.19946474435692102,3.1258103922783973,0,0.30185015101766594,3.1311638144682847,0.30185015101766594,3.1311638144682847
0.7,0.07083831414496215,0.10279186301516813,7.744700046711855e-09,-3.91657735544512e-08,-1.1766418005322568e-08,5.876284906957385e-08,0.200815403117596,3.135490609035235,0.0,10.0,0.10931402960088482,0.0935736183887849,-0.010193690857694837,-0.011977210316260482,-0.0034480593465491447,-3.14679496321615e-05,0.200815403117596,3.135490609035235,0,0.3036060004991719,3.1375564452780775,0.3036060004991719,3.1375564452780775
0.7999999999999999,0.08111750044647892,0.10318962739444319,3.7071734884885026e-09,-4.7319936064035514e-08,-5.890133098365183e-09,7.039485664655304e-08,0.2027427721983065,3.1496078020760576,0.0,10.0,0.057801942265736664,0.11486432521767088,-0.01730334357167443,0.0031210708051668166,0.0014433625309365663,-0.0007113007239053836,0.2027427721983065,3.1496078020760576,0,0.3059302027515526,-3.136281123296976,0.3059302027515526,-3.136281123296976
0.8999999999999999,0.09143646318592322,0.10358712793180477,-1.0856001818874475e-09,-3.6418247490815675e-08,1.1493525662901219e-09,5.3671976889761926e-08,0.20166100340548937,3.157853927301592,0.0,10.0,0.08612037084597135,0.0980687693451656,0.019028881584025874,-0.002149743220562365,0.0006682280368050146,-0.0016852517241004777,0.20166100340548937,3.157853927301592,0,0.30523908298691177,-3.130849774123652,0.30523908298691177,-3.130849774123652
0.9999999999999999,0.1017951759791037,0.10398435269471516,-4.715519117836711e-09,-1.4690044616248291e-08,6.516550255266315e-09,2.1041856204794287e-08,0.2025409040176048,3.1458363957031987,0.0,10.0,0.09022561509080855,0.08526796266135647,0.03476938166328887,0.000936304062418454,0.0008076928271000392,-0.0029714748320815994,0.2025409040176048,3.1458363957031987,0,0.3065246379700138,-3.1387885922057377,0.3065246379700138,-3.1387885922057377
1.0999999999999999,0.11219361124857523,0.10438130831145082,-6.116761653451895e-09,-8.972344970723947e-09,8.620735875745744e-09,1.2398369999065852e-08,0.20272443877481586,3.1408299671597595,0.0,10.0,0.14810452324182213,0.08867627639107159,0.010585779543508433,0.010555763395567679,-0.002080982401605427,0.00019046941547468555,0.20272443877481586,3.1408299671597595,0,0.30710572705009026,3.1410891595928017,0.30710572705009026,3.1410891595928017
