,a,b,c
gf,61.52191043583581,0.05934680470731181,-0.665254265912029
ga,43.67253482947001,0.11262858481065216,-1.8550121819187448
gp,0.8527493213816517,0.005003501455755018,-2.3543782923905145
gs,0.9710876461844156,0.005568276031672343,-2.2980927944635896
