polygon_id,vertex_id,x_px,y_px,lat,lon
0,0,1701,631,34.35474508221162,133.8717248908297
0,1,1685,635,34.354624956861954,133.87114264919944
0,2,1654,675,34.35342369389673,133.87001455604076
0,3,1629,689,34.35300324779179,133.86910480349346
0,4,1613,739,34.351501637344924,133.8685225618632
0,5,1564,780,34.35027029670713,133.86673944687047
0,6,1544,813,34.34927920452046,133.8660116448326
0,7,1548,860,34.34786762875517,133.86615720524017
0,8,1527,902,34.34660620051651,133.86539301310043
0,9,1580,865,34.347717459721935,133.86732168850074
0,10,1593,865,34.347717459721935,133.86779475982533
0,11,1596,874,34.3474471547843,133.867903930131
0,12,1579,949,34.345194579748075,133.86728529839885
0,13,1547,983,34.344173392463105,133.8661208151383
0,14,1535,1026,34.34288187308675,133.86568413391558
0,15,1500,1071,34.34153026174102,133.86441048034936
0,16,1461,1092,34.34089950232453,133.86299126637556
0,17,1452,1081,34.34122990070581,133.86266375545853
0,18,1467,1066,34.34168044185523,133.8632096069869
0,19,1469,1035,34.34261155256038,133.86328238719068
0,20,1492,1003,34.34357268825079,133.86411935953421
0,21,1465,1002,34.34360272356361,133.86313682678312
0,22,1443,1018,34.343122157267544,133.8623362445415
0,23,1459,1027,34.342851837515745,133.86291848617176
0,24,1452,1043,34.342371266916516,133.86266375545853
0,25,1418,1038,34.34252144552462,133.8614264919942
0,26,1420,1050,34.342161016413336,133.86149927219796
0,27,1410,1059,34.34189069356327,133.86113537117905
0,28,1425,1064,34.34174051382559,133.86168122270743
0,29,1439,1087,34.3410496835683,133.8621906841339
0,30,1406,1161,34.338826973696655,133.86098981077149
0,31,1618,1162,34.338796936673354,133.86870451237263
0,32,1630,1155,34.33900719561049,133.86914119359534
0,33,1701,1162,34.338796936673354,133.8717248908297
0,34,1728,1145,34.33930756460632,133.8727074235808
0,35,1750,1162,34.338796936673354,133.87350800582243
0,36,1919,1162,34.338796936673354,133.87965793304224
0,37,1919,876,34.34738708690204,133.87965793304224
0,38,1889,920,34.34606558260461,133.87856622998547
0,39,1887,966,34.34468398766016,133.87849344978167
0,40,1806,1038,34.34252144552462,133.8755458515284
0,41,1803,1054,34.342040873032005,133.8754366812227
0,42,1788,1054,34.342040873032005,133.87489082969435
0,43,1730,1108,34.34041892053723,133.87278020378457
0,44,1706,1105,34.340509029832134,133.87190684133915
0,45,1666,1078,34.34132000912932,133.87045123726347
0,46,1622,1018,34.343122157267544,133.86885007278022
0,47,1620,996,34.34378293521459,133.86877729257642
0,48,1662,958,34.34492426667705,133.8703056768559
0,49,1639,966,34.34468398766016,133.86946870451237
0,50,1614,947,34.34525464920107,133.86855895196507
0,51,1608,899,34.34669630316293,133.86834061135372
0,52,1632,850,34.34816796601474,133.86921397379913
0,53,1653,843,34.348378201456306,133.86997816593887
0,54,1656,824,34.34894883785455,133.87008733624455
0,55,1718,759,34.35090098563468,133.87234352256186
1,0,1707,252,34.366126178132056,133.87194323144107
1,1,1402,370,34.36258288916829,133.8608442503639
1,2,1477,446,34.36030069152339,133.86357350800583
1,3,1349,482,34.35921962884041,133.85891557496362
1,4,1326,535,34.35762803895674,133.85807860262008
1,5,1274,519,34.358108522106626,133.8561863173217
1,6,1243,456,34.36000039773251,133.85505822416303
1,7,1197,485,34.35912953965401,133.853384279476
1,8,1204,442,34.360420808738425,133.85363901018923
1,9,1038,453,34.36009048598275,133.8475982532751
1,10,1039,479,34.35930971792996,133.847634643377
1,11,1071,478,34.359339747604956,133.84879912663754
1,12,1000,607,34.355465830694406,133.8462154294032
1,13,1000,659,34.35390420114865,133.8462154294032
1,14,735,920,34.34606558260461,133.83657205240175
1,15,598,1008,34.343422511525326,133.8315866084425
1,16,548,1011,34.343332405360954,133.8297671033479
1,17,573,963,34.344774092372184,133.8306768558952
1,18,537,941,34.34543485730186,133.82936681222708
1,19,540,880,34.3472669510084,133.82947598253276
1,20,855,585,34.3561265113592,133.8409388646288
1,21,844,436,34.3606009842382,133.840538573508
1,22,781,431,34.36075113019208,133.8382459970888
1,23,797,466,34.35970010286561,133.83882823871906
1,24,760,449,34.3602106034991,133.83748180494905
1,25,506,587,34.35606644969577,133.82823871906842
1,26,533,618,34.355135488409104,133.82922125181952
1,27,517,636,34.35459492549762,133.82863901018922
1,28,454,592,34.35591629534891,133.82634643377003
1,29,355,674,34.353453725680666,133.82274381368268
1,30,249,673,34.35348375745384,133.8188864628821
1,31,224,790,34.349969966978755,133.8179767103348
1,32,166,829,34.348798670757894,133.81586608442504
1,33,157,792,34.34990990090397,133.815538573508
1,34,203,720,34.352072252483346,133.81721251819505
1,35,180,732,34.35171186442675,133.8163755458515
1,36,162,709,34.35240260684083,133.81572052401745
1,37,148,754,34.351051148965716,133.81521106259098
1,38,73,791,34.34993993394674,133.81248180494904
1,39,71,832,34.34870857037079,133.81240902474525
1,40,0,880,34.3472669510084,133.8098253275109
1,41,0,936,34.34558503042333,133.8098253275109
1,42,72,869,34.34759732430166,133.81244541484716
1,43,120,866,34.347687425883,133.814192139738
1,44,0,968,34.34462391779835,133.8098253275109
1,45,0,1175,34.33840645439166,133.8098253275109
1,46,1065,1161,34.338826973696655,133.8485807860262
1,47,1061,1140,34.33945774870081,133.84843522561863
1,48,1146,1103,34.3405691026416,133.85152838427948
1,49,1318,939,34.345494926582724,133.85778748180496
1,50,1400,930,34.345765237814064,133.86077147016013
1,51,1450,801,34.34963960303487,133.86259097525473
1,52,1478,802,34.34960956988452,133.8636098981077
1,53,1518,728,34.35183199395109,133.8650655021834
1,54,1544,749,34.35120131202775,133.8660116448326
1,55,1561,707,34.352462671129594,133.8666302765648
1,56,1542,629,34.354805144821896,133.86593886462882
1,57,1598,495,34.35882924166661,133.8679767103348
1,58,1592,400,34.36168202910176,133.86775836972345
2,0,1206,104,34.37057009144582,133.85371179039302
2,1,1212,114,34.37026983445836,133.85393013100438
2,2,1214,125,34.36993955052912,133.85400291120814
2,3,1228,135,34.36963929128163,133.85451237263464
2,4,1240,139,34.36951918728132,133.85494905385735
2,5,1252,138,34.36954921329754,133.85538573508006
2,6,1259,141,34.36945913521657,133.8556404657933
2,7,1272,139,34.36951918728132,133.8561135371179
2,8,1301,146,34.369309004866416,133.85716885007278
2,9,1309,157,34.368978717149005,133.85745997088793
2,10,1322,156,34.369008743358954,133.85793304221252
2,11,1329,152,34.36912884809107,133.85818777292576
2,12,1349,147,34.36927897876409,133.85891557496362
2,13,1338,136,34.369609265297704,133.8585152838428
2,14,1341,127,34.36987949876571,133.85862445414847
2,15,1361,124,34.36996957639468,133.85935225618633
2,16,1369,126,34.3699095246528,133.85964337700145
2,17,1397,116,34.37020978293171,133.86066229985445
2,18,1402,110,34.37038993738248,133.8608442503639
2,19,1406,109,34.37041996308662,133.86098981077149
2,20,1413,99,34.370720219535976,133.86124454148472
2,21,1432,86,34.371110551311254,133.86193595342067
2,22,1453,80,34.371290703824855,133.8627001455604
2,23,1464,72,34.371530906573675,133.86310043668124
2,24,1471,70,34.37159095715325,133.86335516739447
2,25,1474,65,34.37174108341385,133.86346433770015
2,26,1403,64,34.37177110863368,133.8608806404658
2,27,1399,66,34.37171105818326,133.86073508005822
2,28,1395,64,34.37177110863368,133.86058951965066
2,29,1375,64,34.37177110863368,133.8598617176128
2,30,1371,66,34.37171105818326,133.85971615720524
2,31,1367,64,34.37177110863368,133.85957059679768
2,32,1316,64,34.37177110863368,133.85771470160117
2,33,1312,66,34.37171105818326,133.8575691411936
2,34,1304,64,34.37177110863368,133.85727802037846
2,35,1300,66,34.37171105818326,133.8571324599709
2,36,1296,64,34.37177110863368,133.8569868995633
2,37,1258,65,34.37174108341385,133.85560407569142
2,38,1260,71,34.37156093186884,133.85567685589518
2,39,1259,85,34.371140576757085,133.8556404657933
2,40,1251,106,34.370510040134434,133.85534934497815
2,41,1251,111,34.3703599116676,133.85534934497815
2,42,1243,126,34.3699095246528,133.85505822416303
2,43,1237,128,34.36984947286786,133.85483988355168
2,44,1230,125,34.36993955052912,133.85458515283844
2,45,1224,104,34.37057009144582,133.85436681222708
2,46,1221,102,34.370630142714184,133.8542576419214
2,47,1208,100,34.37069019393947,133.8537845705968
3,0,68,78,34.371350754576646,133.81229985443957
3,1,70,79,34.37132072920613,133.81237263464337
3,2,110,79,34.37132072920613,133.81382823871905
3,3,114,77,34.371380779936366,133.81397379912664
3,4,120,77,34.371380779936366,133.814192139738
3,5,124,79,34.37132072920613,133.81433770014556
3,6,126,78,34.371350754576646,133.81441048034935
3,7,131,79,34.37132072920613,133.8145924308588
3,8,134,78,34.371350754576646,133.81470160116447
3,9,139,79,34.37132072920613,133.81488355167394
3,10,185,79,34.37132072920613,133.81655749636099
3,11,186,78,34.371350754576646,133.81659388646287
3,12,191,78,34.371350754576646,133.81677583697234
3,13,192,79,34.37132072920613,133.81681222707422
3,14,232,79,34.37132072920613,133.81826783114994
3,15,236,77,34.371380779936366,133.8184133915575
3,16,240,79,34.37132072920613,133.81855895196506
3,17,244,79,34.37132072920613,133.81870451237262
3,18,252,76,34.37141080528536,133.81899563318777
3,19,252,74,34.37147085595104,133.81899563318777
3,20,247,65,34.37174108341385,133.8188136826783
3,21,245,64,34.37177110863368,133.81874090247453
3,22,244,65,34.37174108341385,133.81870451237262
3,23,232,64,34.37177110863368,133.81826783114994
3,24,228,66,34.37171105818326,133.81812227074235
3,25,222,64,34.37177110863368,133.817903930131
3,26,192,64,34.37177110863368,133.81681222707422
3,27,191,65,34.37174108341385,133.81677583697234
3,28,186,65,34.37174108341385,133.81659388646287
3,29,185,64,34.37177110863368,133.81655749636099
3,30,129,64,34.37177110863368,133.81451965065503
3,31,122,67,34.3716810329419,133.81426491994176
3,32,114,64,34.37177110863368,133.81397379912664
3,33,102,64,34.37177110863368,133.81353711790393
3,34,101,65,34.37174108341385,133.81350072780202
3,35,82,64,34.37177110863368,133.81280931586608
3,36,69,75,34.37144083062358,133.81233624454148
