portID,minLat[deg],maxLat[deg],minLong[deg],maxLong[deg]
3000,35.6,35.605,140.095,140.1
3001,35.595,35.6025,140.075,140.085
3002,35.5925,35.6025,140.1025,140.1075
3003,35.594,35.596,140.102,140.103
3004,35.5935,35.5945,140.1005,140.1015
3005,35.59,35.595,140.11,140.115
3006,35.5425,35.5475,140.0775,140.0825
3007,35.533,35.5335,140.0552,140.0557
3008,35.5325,35.533,140.0563,140.0568
3009,35.53225,35.53275,140.0567,140.0572
