portID,minLat[deg],maxLat[deg],minLong[deg],maxLong[deg]
1000,34.5763,34.5768,135.4275,135.428
1001,34.5757,34.5762,135.4272,135.428
1002,34.5742,34.5748,135.4277,135.4282
1003,34.65,34.69,135.17,135.21
1004,34.4192,34.42,135.2393,135.2398
1005,34.4185,34.419,135.238,135.2386
1006,34.4178,34.4182,135.237,135.2375
