longitude,latitude
133.7795972,34.3666444
133.8242694,34.3678639
133.8717601,34.3549049
133.7579185,34.3329747
133.7543288,34.3379765
133.7715139,34.3053103
133.8021056,34.3663083
133.8115928,34.3700146
133.8126145,34.3549254
133.8162602,34.3237145
133.8473189,34.3619962
133.8413289,34.361466
133.8596859,34.3455149
133.7646917,34.3682528
133.8332311,34.3575618
133.7762546,34.3035133
133.7767337,34.3029493
133.7546092,34.2865788
133.7764905,34.3032097
133.826236,34.3571486
133.8704175,34.3423032
133.7606667,34.4315833
133.1387867,34.3732171
133.1298073,34.1946146
133.1315528,34.0669389
133.7131539,34.3450568
133.4265278,34.3660222
133.3607222,34.3649167
133.2845972,34.371575
133.1058972,34.1051556
133.0290694,34.1602056
133.9652361,34.4446056
133.9690556,34.4471306
133.9433667,34.4549833
133.8206111,34.4290556
133.7795972,34.3666444
133.4957222,34.4215
133.6725361,34.2480694
133.3874639,34.3802694
133.3035,34.3760278
133.2924689,34.3822689
133.0961572,34.3410088
133.1262063,34.2575223
133.0916528,34.1964917
133.4431361,34.3871306
133.4482472,34.3871306
133.4445833,34.4049444
133.4485278,34.4049444
133.9671611,34.5148806
133.1254444,34.3606
133.948425,34.4235278
133.8923167,34.4465778
133.8716389,34.3548611
133.5193056,34.2988056
133.5148639,34.0182861
133.4640556,34.1516111
133.2062778,34.3496389
133.2062778,34.0957722
133.2254444,34.3538056
133.8242694,34.3678639
133.2248889,34.3440833
133.3965306,34.3251944
133.9301111,34.4149167
133.9814778,34.4285278
133.66675,34.4887778
133.7206667,34.4340778
133.7001111,34.4385194
133.7542778,34.3379778
133.7156694,34.352975
133.6787278,34.3418083
133.7056722,34.3085361
133.7578889,34.3329778
133.6640278,34.4889167
133.6570639,34.3317806
133.6229,34.3088667
133.6206806,34.2960361
133.6620639,34.2963139
133.2298778,34.3721278
133.2284917,34.2945278
133.9812,34.3897278
133.9921444,34.4035861
133.0035278,34.1377222
133.0361556,34.0979889
133.0381,34.0844917
133.1404472,34.2318639
133.8214917,34.4363
133.7323333,34.3801944
133.7020611,34.3140333
133.8564861,34.4596333
133.8358333,34.4621306
133.8362222,34.4688056
133.7646917,34.3682528
133.8126056,34.3549222
133.8413528,34.36145
133.8473333,34.362
133.8021056,34.3663083
133.8116056,34.3700306
133.7984389,34.3854722
133.8056611,34.3875
133.7903278,34.4045806
133.7976611,34.4071361
133.7792722,34.4231917
133.7853833,34.4263278
133.5349611,34.4562083
133.8162167,34.3237583
133.7715,34.3052583
133.6784528,34.2477083
133.17405,34.3646278
133.1236776,34.3725356
133.0743598,34.2985051
133.4512472,34.3751889
133.6773417,34.2474861
133.8773194,34.3915861
133.9424528,34.4111667
133.7165,34.4071361
133.5454083,34.2857556
133.395975,34.3549111
133.4779139,34.3349167
133.4831917,34.2688139
133.4229444,34.2526944
133.3373722,34.2315917
133.4215333,34.1874306
133.3593194,34.1077167
133.2532139,34.2102028
133.1915556,34.1763333
133.311825,34.0443889
133.1157306,34.1335417
133.8542667,34.4307472
133.9617,34.4801056
134.4097979,34.49687
134.2111806,34.3702056
134.130125,34.4216056
134.3218158,34.460591
134.0839694,34.379425
134.0273917,34.3802833
134.0034477,34.3838213
134.1384056,34.4660278
134.0381361,34.4915778
134.1814583,34.4679722
134.2722833,34.4442278
134.2753389,34.4518639
134.1214639,34.3999222
134.0197222,34.4548611
134.0229167,34.4644444
134.133127800000011,34.4754694
134.1672917,34.4963028
134.4406296,34.4324336
134.3476256,34.4003982
134.1720167,34.4202
134.2229167,34.4017267
134.02675,34.4618583
134.0591083,34.4447778
134.0156972,34.4260278
134.0728583,34.3885333
134.1078528,34.4376972
134.0535,34.3656111
134.4348094,34.2321608
