BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
7,,,,"3,1",2,石狩湾新港沖灯標,Ishikari Wan Shin Ko Offing Lt Beacon,43.2777222,141.239638899999
1,,,,"3,1",1,,,43.1831903,141.2923944
