BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
,4,2,,"2,6,2",1,岩国港Ｃ灯浮標,Iwakuni Ko C,34.1385594,132.2927901
,4,3,,"6,2",1,岩国港Ｄ灯浮標,Iwakuni Ko D,34.1032751,132.2627661
,4,2,,"2,6,2",1,見付石灯浮標,Mitsuke Ishi Lt Bouy,34.1852503,132.410359
,4,,2,3,,馬ヶ瀬灯浮標,Umagase Lt Buoy,34.1715393,132.3713533
,4,,2,3,,鹿川港第２号灯浮標,kanokawa Ko No 2 Lt Bouy,34.1671773,132.4324933
,4,,1,4,,鹿川港大矢鼻東方灯浮標,Kanogawa Ko Oya Hana Touhou Lt Bouy,34.1731374,132.4311483
,4,,2,3,,鹿川港第４号灯浮標,Kanogawa Ko No 4 Lt Bouy,34.1809747,132.4416771
,4,,1,4,,オエノウラ出シ灯浮標,Oenoura Dashi Lt Bouy,34.1399455,132.490766799999
,4,,,"3,1",2,広島湾第２号灯浮標,Hiroshima Wan No.2 Lt Buoy,34.1382828,132.3640911
,2,,,3,,,,34.1965792,132.482382
,,,,,,,,34.202477,132.572246
,,,,,,,,34.202017,132.571688
3,,,,1,,王子マテリア呉港広導灯（前灯）,Ojimateria Kure Ko Hiro Leading Lt(Front),34.2246667,132.6155
3,,,,1,,王子マテリア呉港広導灯（後灯）,Ojimateria Kure Ko Hiro Leading Lt(Rear),34.2256667,132.6161667
,4,2,,"2,6,2",1,オードノ礁東灯浮標,Odono Sho E Light Buoy,34.2018645,132.5274724
,4,1,,"2,6",1,小アジワ島東方灯浮標,Koajiwa Shima E Light Buoy,34.1834722,132.5626944
,1,,2,3,,太郎坊浮標,Tarobo Buoy,34.2460167,132.5181417
,4,,1,4,,呉港広第１号灯浮標,Kure Ko Hiro No1,34.2090778,132.6041056
,4,,2,3,,呉港広第２号灯浮標,Kure Ko Hiro No2,34.2085222,132.6054944
,4,,1,4,,呉港広第３号灯浮標,Kure Ko Hiro No3,34.2168946,132.609427399999
,4,,2,3,,呉港広第４号灯浮標,Kure Ko Hiro No4,34.2190278,132.6126667
,4,,,"3,1",2,音戸瀬戸北口灯浮標,Ondo Seto N Entrance Light Buoy,34.2034235,132.5385847
,4,,,"3,1",2,音戸瀬戸南口灯浮標,Ondo Seto S Entrance Light Buoy,34.1911667,132.5367778
