BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
3,,3,,"6,2",1,知人礁灯標,Shirito Sho Lt Beacon,42.9609383,144.3689517
3,,3,,"6,2",1,知人礁灯標,Shirito Sho,42.9609444,144.3689444
,,,,,,,,42.9995251,144.3300067
1,,,,6,,,,42.9996574,144.3287253
,1,,,6,,,,42.9815531,144.3104353
,1,,,6,,,,42.9813873,144.3059025
,1,,,6,,,,42.9814016,144.3014054
,1,,,6,,,,42.9813873,144.2960801
