BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
,4,,1,4,,備讃瀬戸東航路第１号灯浮標,Bisan-Seto E Traffic Route No.1,34.4149167,133.9301111
,4,,1,4,,宇高東航路第３灯浮標,Uko E Passage No.3,34.4285278,133.9814778
,4,,2,3,,水島港玉島西第２号灯浮標,Mizushima Ko Tamashima No.2,34.4887778,133.66675
,4,,2,3,,ガンツガ瀬北方灯浮標,Gantsuga Se Northward Lt Buoy,34.4340778,133.7206667
,4,,1,4,,トクダキノ石灯浮標,Tokudakino Ishi Lt Buoy,34.4385194,133.700111099999
,4,,1,4,,備讃瀬戸南航路第７号灯浮標,Bisan-Seto S Traffic Route No.7,34.3379778,133.7542778
,4,,1,4,,備讃瀬戸北航路第７号灯浮標,Bisan-Seto N Traffic Route No.7,34.352975,133.7156694
,4,,1,4,,備讃瀬戸北航路第５号灯浮標,Bisan-Seto N Traffic Route No.5,34.3418083,133.6787278
,4,,2,3,,備讃瀬戸南航路第６号灯浮標,Bisan-Seto S Traffic Route No.6,34.3085361,133.7056722
,4,,2,3,,備讃瀬戸南航路第８号灯浮標,Bisan-Seto S Traffic Route No.8,34.3329778,133.7578889
,4,,1,4,,水島港玉島第１号灯浮標,Mizushima Ko Tamashima No.1,34.4889167,133.6640278
,4,,1,4,,備讃瀬戸北航路第３号灯浮標,Bisan-Seto N Traffic Route No.3,34.3317806,133.6570639
,4,,2,3,,備讃瀬戸北航路第２号灯浮標,Bisan-Seto N Traffic Route No.2,34.3088667,133.6229
,4,,1,4,,備讃瀬戸南航路第１号灯浮標,Bisan-Seto S Traffic Route No.1,34.2960361,133.620680599999
,4,,1,4,,備讃瀬戸南航路第３号灯浮標,Bisan-Seto S Traffic Route No.3,34.2963139,133.6620639
,4,,1,4,,似骨ノ礁灯浮標,Niboneno Sowa Lt Buoy,34.3721278,133.2298778
,4,,2,3,,馬立ノ鼻沖灯浮標,Umatate-no Hana Offing Lt Buoy,34.2945278,133.2284917
,4,,1,4,,宇高西航路第１号灯浮標,Uko W Passage No.1,34.3897278,133.9812
,4,,2,3,,宇高東航路第２号灯浮標,Uko E Passage No.2,34.4035861,133.9921444
,4,,1,4,,来島海峡航路第７号灯浮標,Kurushima-kaikyo Traffic Route No.7,34.1377222,133.0035278
,4,,1,4,,来島海峡航路第９号灯浮標,Kurushima-Kaikyo Traffic Route No.9,34.0979889,133.0361556
