BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
,7,,,,,福井港福井石油備蓄シーバース灯,Fukui Ko,36.1800155,136.0808522
,4,,,6,,海底波高計,Wave Meter,36.5454125,136.5152529
,3,,,11,,海底波高計,Wave Meter,36.8783333,136.7338889
,4,,2,3,,,,36.6255628,136.5987627
,4,,1,4,,,,36.6413392,136.604451399999
,4,,1,4,,,,36.6279926,136.602423
