t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],delta_rudder_p [rad],delta_rudder_s [rad],n_prop [rps],n_bt [rps],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_p_cmd [rad],delta_rudder_s_cmd [rad],n_prop_cmd [rps],n_bt_cmd [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],delta_rudder_p_hat [rad],delta_rudder_s_hat [rad],n_prop_hat [rps],n_bt_hat [rps],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
0.0,0.0,0.1,-10.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.2,3.141592653589793,0.0,0.0,10.0,0.0,-0.034726489413603526,0.10289755802327752,-9.976574377923248,0.005439736447085796,-0.0016779292461252305,0.0018692627532138524,0.0,0.0,1e-08,0.0,0.2,3.141592653589793,0,0.30000000000000004,3.141592653589793,0.30000000000000004,3.141592653589793
0.1,0.010000000000000002,0.09995630763035558,-10.0,-1.090743976655622e-06,0.0,2.0235233772412114e-06,0.0,0.0,2.00000001,0.0,0.20273305786631723,3.1338302399655014,0.0,0.0,10.0,0.0,0.011416335492722222,0.11749865445479311,-10.040139395988986,0.003254653944894884,-0.001202737307780842,-3.25720614291337e-05,0.0,0.0,2.00000001,0.0,0.20273305786631723,3.1338302399655014,0,0.30268735419478093,3.1363899919223535,0.30268735419478093,3.1363899919223535
0.2,0.01999563076303556,0.09996074923583494,-10.000000109074398,-3.227243967059468e-06,2.0235233772412115e-07,4.0507935955251155e-06,0.0,0.0,4.00000001,0.0,0.20244764234205592,3.1250860593083254,0.0,0.0,10.0,0.0,0.06544880415879144,0.09392903377032552,-9.948589574447709,-0.004065719151915901,0.0004739013282556472,7.358506021244601e-05,0.0,0.0,4.00000001,0.0,0.20244764234205592,3.1250860593083254,0,0.30239931049391416,3.1305314320796054,0.30239931049391416,3.1305314320796054
0.30000000000000004,0.029991705686684154,0.10017024147302409,-10.000000429776065,-1.293231957030279e-05,6.074316972766327e-07,1.7287618466204162e-05,0.0,0.0,6.00000001,0.0,0.20273401799141466,3.1329747623088786,0.0,0.0,10.0,0.0,0.0054143392910894275,0.09719444941772014,-10.019847310917225,-0.017054635572598006,0.0006420793237187983,-0.0010918495618640223,0.0,0.0,6.00000001,0.0,0.20273401799141466,3.1329747623088786,0,0.30290184437889217,3.135781584752999,0.30290184437889217,3.135781584752999
0.4,0.04000872983477027,0.10074816776754653,-10.000001716923364,-3.518830784210791e-05,2.336193543897049e-06,5.108595558032487e-05,0.0,0.0,8.00000001,0.0,0.20403879160969066,3.148796422413768,0.0,0.0,10.0,0.0,0.09439551074772529,0.09553332803493372,-9.946123668665448,-0.0013487662893250719,-0.0020191509087237373,-0.001570135230774701,0.0,0.0,8.00000001,0.0,0.20403879160969066,3.148796422413768,0,0.30478504288411823,-3.1368871211838805,0.30478504288411823,-3.1368871211838805
0.5,0.050083546619718096,0.10185737713851749,-10.000005212217427,-7.50239437317857e-05,7.444789101929537e-06,0.00011455714397711691,0.0,0.0,10.0,0.0,0.20361910417682116,3.1335922000340393,0.0,0.0,10.0,0.0,-0.009184025550825148,0.1016767423818078,-9.952524373484664,0.011045847307065353,-0.0013489994015455755,0.0021521763058844987,0.0,0.0,10.0,0.0,0.20361910417682116,3.1335922000340393,0,0.30547471408110444,3.136009289772581,0.30547471408110444,3.136009289772581
0.6,0.060269284389141316,0.10365976382330024,-10.000012638781131,-0.00013757191682013133,1.890050349964123e-05,0.00021669847778618532,0.0,0.0,10.0,0.0,0.20253610859039767,3.141838695266063,0.0,0.0,10.0,0.0,0.054953192049189456,0.09814140523666107,-9.980983756111504,-0.0022872787191350057,0.0006871273909520897,-0.0014686069182911821,0.0,0.0,10.0,0.0,0.20253610859039767,3.141838695266063,0,0.30619588088057625,3.1412936044024438,0.30619588088057625,3.1412936044024438
0.7,0.07063526102963767,0.1054570329627808,-10.000026200050637,-0.00020048295915614577,4.057035127825976e-05,0.00031793677517867364,0.0,0.0,10.0,0.0,0.2039447727553002,3.1430272709689486,0.0,0.0,10.0,0.0,0.08451836605913628,0.08843161572106338,-9.995419911412776,-0.004144277787698028,0.002129782523531854,-0.00242310838623558,0.0,0.0,10.0,0.0,0.2039447727553002,3.1430272709689486,0,0.3094016189036744,-3.14132172561472,0.3094016189036744,-3.14132172561472
0.7999999999999999,0.0811809651306033,0.10724919692403038,-10.000045820503649,-0.00026378340731881975,7.236402879612713e-05,0.0004182828760798317,0.0,0.0,10.0,0.0,0.2026179791117107,3.143575444321968,0.0,0.0,10.0,0.0,0.09117531943462605,0.12041869548202423,-9.99500096976772,-0.007160112089462768,0.0010774910750511871,0.00042274664718461476,0.0,0.0,10.0,0.0,0.2026179791117107,3.143575444321968,0,0.30986683081796085,-3.141194730527073,0.30986683081796085,-3.141194730527073
0.8999999999999999,0.09190588670376854,0.10903622456341201,-10.000071422745915,-0.00032748441860354274,0.0001141923164041103,0.0005177341728278685,0.0,0.0,10.0,0.0,0.20290999526326636,3.156317884960109,0.0,0.0,10.0,0.0,0.07601305402989036,0.10392804271392254,-9.984830742251821,-0.0011667043674239044,0.00019622660563448262,-0.00018896358982587553,0.0,0.0,10.0,0.0,0.20290999526326636,3.156317884960109,0,0.31193570885525007,-3.1331384519667926,0.31193570885525007,-3.1331384519667926
