t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],delta_rudder [rad],n_prop [rps],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_cmd [rad],n_prop_cmd [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],delta_rudder_hat [rad],n_prop_hat [rps],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
0.0,0.0,0.1,-10.0,0.0,0.0,0.0,0.0,1e-08,0.2,3.141592653589793,0.0,10.0,-0.034726489413603526,0.10289755802327752,-9.976574377923248,0.005439736447085796,-0.0016779292461252305,0.0018692627532138524,0.0,1e-08,0.2,3.141592653589793,0,0.30000000000000004,3.141592653589793,0.30000000000000004,3.141592653589793
0.1,0.010000000000000002,0.09997729129911098,-10.0,8.280287178907829e-23,0.0,-1.2283581554404506e-22,0.0,2.00000001,0.20090785745334006,3.155611454015407,0.0,10.0,0.07728917187204043,0.09386236007188023,-9.998583664507278,0.017542346824437532,-0.0023352153992319833,0.0005682346442512675,0.0,2.00000001,0.20090785745334006,3.155611454015407,0,0.30087858900879233,-3.132231947513168,0.30087858900879233,-3.132231947513168
0.2,0.0199977291299111,0.09996819014572511,-10.0,1.922735081869244e-08,-1.2283581554404507e-23,-2.850882782704721e-08,0.0,4.00000001,0.2014850725106744,3.1310973500486297,0.0,10.0,-0.009776619212088038,0.08591347931978709,-10.006932865254706,-0.00688845162224543,0.0026443584374527727,-0.0010527614529938457,0.0,4.00000001,0.2014850725106744,3.1310973500486297,0,0.30144958255902726,3.134577861031963,0.30144958255902726,3.134577861031963
0.30000000000000004,0.029994548144483615,0.1000081286291548,-9.999999998077264,4.750783443351571e-09,-2.8508827827047337e-09,-6.854370323210999e-09,0.0,6.00000001,0.2018137055470867,3.1316033318317387,0.0,10.0,0.030340097692044835,0.08873634854583097,-9.989958608815913,0.0038389202364308896,0.000415098428842002,0.001084561118421077,0.0,6.00000001,0.2018137055470867,3.1316033318317387,0,0.301818497761868,3.13491328108316,0.301818497761868,3.13491328108316
0.4,0.039995361007399095,0.10013251704311121,-9.999999997630697,-9.120448816187834e-09,-3.536319815025834e-09,1.376312729521806e-08,0.0,8.00000001,0.20100505353009415,3.109970490285585,0.0,10.0,0.05102145063413055,0.09377762910971496,-10.00233161283828,0.022497669259350303,0.0004019641668977835,0.00018748987577824657,0.0,8.00000001,0.20100505353009415,3.109970490285585,0,0.3011041544830875,3.120484888707046,0.3011041544830875,3.120484888707046
0.5,0.05000861271171021,0.10037673451293376,-9.999999998578152,-5.2561258633796743e-08,-2.1600070855040276e-09,7.793852135156753e-08,0.0,10.0,0.20321265305687383,3.103351400905938,0.0,10.0,0.10388666096962611,0.0990631565314508,-10.034746802368172,-0.009288965724792165,0.0019335554029393546,0.001330964034841494,0.0,10.0,0.20321265305687383,3.103351400905938,0,0.3035402626653867,3.1159943586532983,0.3035402626653867,3.1159943586532983
0.6,0.06004628616300358,0.10077614110585148,-10.000000003855959,-1.0677171966156422e-07,5.633845049652726e-09,1.574637053092768e-07,0.0,10.0,0.20279412215089077,3.0881482282314274,0.0,10.0,0.0007787139924603365,0.10059550634914179,-9.952519165123196,0.011120764479077477,-0.0013564385568024554,0.002037776625612691,0.0,10.0,0.20279412215089077,3.0881482282314274,0,0.30347412926849565,3.1058879082251694,0.30347412926849565,3.1058879082251694
0.7,0.0701239002735888,0.10117527909832025,-10.000000014476356,-1.8198873711822534e-07,2.1380215580580406e-08,2.67030360597836e-07,0.0,10.0,0.20379789545844645,3.082975490483928,0.0,10.0,0.04358477730473262,0.10767140561334702,-10.005316106816307,-0.005518540575376293,0.0011070768987511241,-0.0003749275861685363,0.0,10.0,0.20379789545844645,3.082975490483928,0,0.30485703930264874,3.1024187010598823,0.30485703930264874,3.1024187010598823
0.7999999999999999,0.0802414281834212,0.10157415290787664,-10.000000032458916,-2.655129472232446e-07,4.808325164036401e-08,3.8781518823458096e-07,0.0,10.0,0.20467480459521648,3.0709596880194163,0.0,10.0,0.06867186729512605,0.08285776287451793,-9.965230646080107,0.000936053239515847,0.0008077343938014244,-0.0029711080587495695,0.0,10.0,0.20467480459521648,3.0709596880194163,0,0.30607965405051885,3.0943813698354754,0.30607965405051885,3.0943813698354754
0.8999999999999999,0.09039884347421012,0.10197276229170936,-10.000000058521808,-3.6736550097781316e-07,8.68647704638221e-08,5.340497839419124e-07,0.0,10.0,0.2061268396569386,3.0510250429823094,0.0,10.0,0.10098462913448021,0.11252853465962201,-10.03576965935724,0.0010908709603739686,-0.0018924505104354107,7.590714365787054e-05,0.0,10.0,0.2061268396569386,3.0510250429823094,0,0.30781989063976384,3.0809899861455183,0.30781989063976384,3.0809899861455183
0.9999999999999999,0.10059611970338421,0.10237111038208195,-10.000000094372574,-5.009586689300506e-07,1.4026974885801336e-07,7.241411979327166e-07,0.0,10.0,0.20632316729994796,3.0422727976396424,0.0,10.0,0.1178729809908439,0.1023966859065836,-9.967595097530973,-0.006050121423015338,0.002333118339319071,0.00029551909294624754,0.0,10.0,0.20632316729994796,3.0422727976396424,0,0.3083569299516123,3.0751959513482223,0.3083569299516123,3.0751959513482223
