x [m],y [m]
-1025,-1150
-58,-174
-95,-154
-159,-157
-158,-140
-22,-138
74,-39
-60,-40
-31,-10
80,-9
95,-22
189,70
174,83
61,83
71,93
186,94
198,80
425,300
-125,900
-2025,-1050
-3425,-850
-625,1950
1075,350
-525,-1250
