x [m],y [m]
260,1900
80,1170
-70,1200
-50,520
-60,-140
-200,-50
-400,-260
-150,-220
200,-400
250,-500
-300,-450
30,-770
70,-1000
-1500,-1000
-1500,1900
260,1900
