polygon_id,lat,lon
0,34.94886086,136.6727992
0,34.94618742,136.6724559
0,34.94766486,136.6522427
0,34.95040859,136.6525002
1,34.95160455,136.6564484
1,34.95026789,136.6542169
1,34.95969439,136.6493245
1,34.96050333,136.6513415
