polygon_id,vertex_id,x_px,y_px,lat,lon
0,0,1207,495,34.59057098127124,135.42512764405544
0,1,1210,502,34.5903607680214,135.4252370532458
0,2,1630,699,34.58444454846004,135.4405543398979
0,3,1639,703,34.58432441781131,135.440882567469
0,4,1645,701,34.58438448315739,135.44110138584975
0,5,1623,613,34.58702731540412,135.440299051787
0,6,1617,603,34.58732763193202,135.44008023340626
0,7,1612,605,34.58726756871327,135.43989788475565
0,8,1631,677,34.58510526392392,135.44059080962802
0,9,1632,685,34.58486500436302,135.44062727935813
0,10,1627,688,34.584774906848615,135.4404449307075
0,11,1212,493,34.59063104210208,135.42530999270608
1,0,974,361,34.59459496093957,135.41663019693655
1,1,974,365,34.59447484496574,135.41663019693655
1,2,977,368,34.59438475787137,135.41673960612692
1,3,993,376,34.594144525142156,135.41732312180892
1,4,1179,485,34.59087128499126,135.42410649161198
1,5,1185,486,34.590841254668085,135.42432530999272
1,6,1188,484,34.59090131530356,135.4244347191831
1,7,1188,480,34.591021436444215,135.4244347191831
1,8,996,368,34.59438475787137,135.4174325309993
1,9,980,359,34.594655018861346,135.4168490153173
2,0,1026,305,34.59627656633681,135.41852662290302
2,1,1031,313,34.59603633907854,135.41870897155363
2,2,1216,420,34.592823232713506,135.42545587162655
2,3,1598,600,34.58741772667873,135.43938730853392
2,4,1603,598,34.587477789788935,135.43956965718453
2,5,1602,592,34.58765797885907,135.4395331874544
2,6,1250,426,34.592643054845006,135.42669584245078
2,7,1236,423,34.5927331438281,135.42618526622903
2,8,1031,303,34.59633662304282,135.41870897155363
3,0,622,157,34.600720645300484,135.4037928519329
3,1,625,164,34.60051045773377,135.40390226112328
3,2,931,341,34.595195538203534,135.41506199854123
3,3,937,339,34.59525559569113,135.41528081692198
3,4,935,333,34.59543576789338,135.4152078774617
3,5,630,156,34.6007506720523,135.4040846097739
3,6,625,155,34.60078069879327,135.40390226112328
4,0,517,96,34.60255225729527,135.39996353026987
4,1,517,101,34.60240212668441,135.39996353026987
4,2,518,102,34.60237210052965,135.4
4,3,523,104,34.602312048187585,135.40018234865062
4,4,530,109,34.60216191714246,135.4004376367615
4,5,542,115,34.60198175953008,135.40087527352298
4,6,544,117,34.601921706905756,135.40094821298322
4,7,554,122,34.601771575154984,135.40131291028447
4,8,556,124,34.601711522378686,135.4013858497447
4,9,566,129,34.60156139024798,135.40175054704596
4,10,568,131,34.6015013373197,135.4018234865062
4,11,573,133,34.601441284347985,135.4020058351568
4,12,580,138,34.601291151728745,135.4022611232677
4,13,589,142,34.60117104543795,135.4025893508388
4,14,594,146,34.601050938973444,135.40277169948942
4,15,598,148,34.60099088567607,135.40291757840993
4,16,600,148,34.60099088567607,135.40299051787017
4,17,607,152,34.600870778951034,135.40324580598104
4,18,609,152,34.600870778951034,135.40331874544128
4,19,612,150,34.60093083233526,135.40342815463165
4,20,612,146,34.601050938973444,135.40342815463165
4,21,611,145,34.601080965605846,135.40339168490155
4,22,595,137,34.601321178274304,135.40280816921955
4,23,592,134,34.601411257845854,135.40269876002918
4,24,587,132,34.60147131083927,135.40251641137857
4,25,585,130,34.601531363789256,135.4024434719183
4,26,580,128,34.60159141669583,135.4022611232677
4,27,573,123,34.60174154877227,135.4020058351568
4,28,561,117,34.601921706905756,135.40156819839535
4,29,559,115,34.60198175953008,135.40149525893509
4,30,556,114,34.60201178582595,135.4013858497447
4,31,549,109,34.60216191714246,135.40113056163386
4,32,542,106,34.602251995802106,135.40087527352298
4,33,540,104,34.602312048187585,135.40080233406275
4,34,537,103,34.602342074364046,135.40069292487237
4,35,530,98,34.60249220508351,135.4004376367615
4,36,522,94,34.60261230946365,135.4001458789205
4,37,520,94,34.60261230946365,135.40007293946024
5,0,658,92,34.602672361588574,135.40510576221737
5,1,658,96,34.60255225729527,135.40510576221737
5,2,664,101,34.60240212668441,135.40532458059812
5,3,981,284,34.596907159584404,135.41688548504743
5,4,989,283,34.59693718771487,135.4171772428884
5,5,989,279,34.597057300128235,135.4171772428884
5,6,690,105,34.60228202200028,135.40627279358134
5,7,663,90,34.60273241367009,135.40528811086799
6,0,606,63,34.60354311252031,135.4032093362509
6,1,606,67,34.603423009486335,135.4032093362509
6,2,607,68,34.603392983700694,135.40324580598104
6,3,608,68,34.603392983700694,135.40328227571118
6,4,609,69,34.60336295790419,135.40331874544128
6,5,610,69,34.60336295790419,135.40335521517142
6,6,611,70,34.60333293209685,135.40339168490155
6,7,612,70,34.60333293209685,135.40342815463165
6,8,614,72,34.603272880449595,135.40350109409192
6,9,615,72,34.603272880449595,135.40353756382203
6,10,616,73,34.603242854609654,135.40357403355216
6,11,617,73,34.603242854609654,135.4036105032823
6,12,618,74,34.603212828758906,135.4036469730124
6,13,619,74,34.603212828758906,135.40368344274253
6,14,621,76,34.60315277702478,135.40375638220277
6,15,622,76,34.60315277702478,135.4037928519329
6,16,623,77,34.603122751141434,135.40382932166304
6,17,624,77,34.603122751141434,135.40386579139314
6,18,625,78,34.60309272524725,135.40390226112328
6,19,626,78,34.60309272524725,135.4039387308534
6,20,627,79,34.603062699342175,135.40397520058352
6,21,628,79,34.603062699342175,135.40401167031365
6,22,630,81,34.60300264749951,135.4040846097739
6,23,631,81,34.60300264749951,135.40412107950402
6,24,632,82,34.60297262156189,135.40415754923416
6,25,633,82,34.60297262156189,135.40419401896426
6,26,634,83,34.602942595613406,135.4042304886944
6,27,636,83,34.602942595613406,135.40430342815463
6,28,637,82,34.60297262156189,135.40433989788477
6,29,638,82,34.60297262156189,135.4043763676149
6,30,639,81,34.60300264749951,135.404412837345
6,31,639,76,34.60315277702478,135.404412837345
6,32,638,75,34.60318280289726,135.4043763676149
6,33,637,75,34.60318280289726,135.40433989788477
6,34,636,74,34.603212828758906,135.40430342815463
6,35,635,74,34.603212828758906,135.40426695842453
6,36,634,73,34.603242854609654,135.4042304886944
6,37,633,73,34.603242854609654,135.40419401896426
6,38,632,72,34.603272880449595,135.40415754923416
6,39,631,72,34.603272880449595,135.40412107950402
6,40,629,70,34.60333293209685,135.40404814004378
6,41,628,70,34.60333293209685,135.40401167031365
6,42,627,69,34.60336295790419,135.40397520058352
6,43,626,69,34.60336295790419,135.4039387308534
6,44,625,68,34.603392983700694,135.40390226112328
6,45,624,68,34.603392983700694,135.40386579139314
6,46,622,66,34.603453035261104,135.4037928519329
6,47,621,66,34.603453035261104,135.40375638220277
6,48,619,64,34.60351308677811,135.40368344274253
6,49,618,64,34.60351308677811,135.4036469730124
6,50,617,63,34.60354311252031,135.4036105032823
6,51,616,63,34.60354311252031,135.40357403355216
6,52,615,62,34.603573138251654,135.40353756382203
6,53,613,62,34.603573138251654,135.4034646243618
6,54,612,61,34.60360316397215,135.40342815463165
6,55,609,61,34.60360316397215,135.40331874544128
6,56,608,62,34.603573138251654,135.40328227571118
6,57,607,62,34.603573138251654,135.40324580598104
7,0,460,63,34.60354311252031,135.39788475565283
7,1,460,67,34.603423009486335,135.39788475565283
7,2,463,70,34.60333293209685,135.3979941648432
