curve_id,lat,lon
c_00001,34.65570667,135.42624111
c_00001,34.6571225,135.4235275
c_00001,34.65741056,135.42333584
c_00001,34.65721306,135.4227775
c_00001,34.65694139,135.42264723
c_00001,34.65688583,135.42279139
c_00001,34.65693111,135.42282555
c_00001,34.65713111,135.42293723
c_00001,34.65708278,135.42306055
c_00001,34.65681278,135.4229275
c_00001,34.65394973,135.42136028
c_00001,34.65382083,135.42128473
c_00001,34.65386583,135.42115945
c_00001,34.65603028,135.42233195
c_00001,34.65668861,135.42268889
c_00001,34.65678444,135.42242334
c_00001,34.65578723,135.42186445
c_00001,34.65368473,135.42073305
c_00001,34.6532,135.41934973
c_00001,34.65332917,135.41918028
c_00001,34.65377083,135.41925973
c_00001,34.65449083,135.41940445
c_00001,34.65654556,135.41978889
c_00001,34.656965,135.4198675
c_00001,34.65939944,135.42029695
c_00001,34.65941833,135.42023305
c_00001,34.66016,135.42041666
c_00001,34.65951833,135.41801889
c_00001,34.65928667,135.41798
c_00001,34.65755083,135.41757084
c_00001,34.65756778,135.41746861
c_00001,34.65723611,135.41736695
c_00001,34.65720833,135.41743361
c_00001,34.65717056,135.41742528
c_00001,34.65717889,135.41735278
c_00001,34.65693667,135.41729834
c_00001,34.65691417,135.41740055
c_00001,34.65682056,135.41738361
c_00001,34.65681833,135.41726416
c_00001,34.65677889,135.41726416
c_00001,34.65675639,135.41738
c_00001,34.65673667,135.4173775
c_00001,34.65653667,135.41735278
c_00001,34.65651973,135.41721
c_00001,34.65639444,135.41717084
c_00001,34.6563675,135.41731195
c_00001,34.65628861,135.41730528
c_00001,34.65630833,135.41715389
c_00001,34.65554223,135.41699528
c_00001,34.65484,135.41682805
c_00001,34.65486083,135.41658111
c_00001,34.65298778,135.41612639
c_00001,34.6522025,135.41592195
c_00001,34.65220278,135.41573305
c_00001,34.65210083,135.4157175
c_00001,34.65197139,135.41568334
c_00001,34.65195444,135.41567666
c_00001,34.65190944,135.41561528
c_00001,34.65180778,135.41535611
c_00001,34.65170083,135.41506334
c_00001,34.65161639,135.41483139
c_00001,34.65155417,135.41463389
c_00001,34.65153723,135.41455861
c_00001,34.65154306,135.41444973
c_00001,34.65156778,135.41431834
c_00001,34.65162667,135.4142475
c_00001,34.65179667,135.41425889
c_00001,34.65186417,135.41428611
c_00001,34.65224056,135.41435584
c_00001,34.65312056,135.41456028
c_00001,34.65374111,135.41470055
c_00001,34.66150111,135.41645334
c_00001,34.66183417,135.41765278
c_00001,34.66174778,135.41770055
c_00001,34.66166917,135.41774416
c_00001,34.66196944,135.41878389
c_00001,34.66304611,135.42260028
c_00001,34.66317806,135.42254778
c_00001,34.66351889,135.42372305
c_00001,34.66468583,135.42446084
c_00001,34.66504111,135.42465834
c_00001,34.66638361,135.42537473
c_00001,34.66676361,135.42561305
c_00001,34.66785223,135.42629611
c_00001,34.66826444,135.42606223
c_00001,34.66828,135.42605916
c_00001,34.66815694,135.42574334
c_00001,34.66576723,135.42442528
c_00001,34.66544667,135.42335666
c_00001,34.66430723,135.41929723
c_00001,34.66388333,135.41778695
c_00001,34.66355861,135.41792528
c_00001,34.6634525,135.4174875
c_00001,34.66376139,135.4173525
c_00001,34.66372639,135.41713945
c_00001,34.66385723,135.41691666
c_00001,34.66870389,135.41709361
c_00001,34.66870389,135.41707305
c_00001,34.66870973,135.41708695
c_00001,34.66877723,135.41708695
c_00001,34.66992111,135.41791361
c_00001,34.67061723,135.41848305
c_00001,34.67144139,135.41643223
c_00001,34.67240806,135.41402611
c_00001,34.67250333,135.41398278
c_00001,34.67206194,135.41244416
c_00001,34.67223,135.41236055
c_00001,34.672175,135.41222611
c_00001,34.67200833,135.41148361
c_00001,34.67193473,135.41120916
c_00001,34.67188361,135.41107916
c_00001,34.67185083,135.41096084
c_00001,34.67164167,135.41020555
c_00001,34.67080917,135.40986555
c_00001,34.6719025,135.40820945
c_00001,34.67243944,135.40842611
c_00001,34.67232139,135.40874055
c_00001,34.67317723,135.4089825
c_00001,34.67322417,135.40871834
c_00001,34.67471556,135.40928166
c_00001,34.675575,135.40880055
c_00001,34.67658389,135.41161139
c_00001,34.67666278,135.41187055
c_00001,34.676785,135.41227361
c_00001,34.67799306,135.41663611
c_00001,34.67811361,135.417015
c_00001,34.67952556,135.42207611
c_00001,34.67975,135.42199445
c_00001,34.68282389,135.42028305
c_00002,34.66264973,135.38675305
c_00002,34.66773861,135.38790473
c_00002,34.66875889,135.39064416
c_00002,34.66904639,135.39070555
c_00002,34.66909723,135.39079416
c_00002,34.66948611,135.3918575
c_00002,34.66957056,135.392035
c_00002,34.66964389,135.39215055
