t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_p [rad],delta_rudder_s [rad],n_prop [rps],n_bt [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,3.141592653589793,0.0,0.0,10.0,0.0,-0.034726489413603526,0.10289755802327752,0.023425622076752955,0.005439736447085796,-0.0016779292461252305,0.0018692627532138524,0.2,3.141592653589793,0,0.30000000000000004,3.141592653589793,0.30000000000000004,3.141592653589793
0.1,0.010000000000000002,0.10180759669065222,0.0,-6.212645878696504e-05,0.0,0.00010305861457699925,0.20085472247156644,3.150541724886383,0.0,0.0,10.0,0.0,0.03235187807985489,0.11285106907437537,0.06728917187204042,-0.00617705768601771,8.239905886952976e-05,0.0031647757207090652,0.20085472247156644,3.150541724886383,0,0.30265925119715475,-3.1358590694287005,0.30265925119715475,-3.1358590694287005
0.2,0.020180759669065226,0.10361010178032096,-6.212645878696504e-06,-0.00012460465856565953,1.0305861457699925e-05,0.00020521932033603014,0.19922319984725118,3.154674424296511,0.0,0.0,10.0,0.0,-0.0004927718105655794,0.10341188368040173,0.014236384734048244,-0.019435618820136197,-0.0017218955092209657,-0.002247790472947072,0.19922319984725118,3.154674424296511,0,0.3028264326560753,-3.1334048348478625,0.3028264326560753,-3.1334048348478625
0.30000000000000004,0.030541769974962933,0.1054074864008413,-1.8566332599146014e-05,-0.0001874569302364885,3.082779349130294e-05,0.00030648814571867134,0.19894269783919455,3.145929762083976,0.0,0.0,10.0,0.0,0.07599494337071881,0.09937577093533188,0.05139196829408939,-0.004249948838185329,0.000504526769409226,0.00037602241233559226,0.19894269783919455,3.145929762083976,0,0.3043490754529216,-3.139393717842866,0.3043490754529216,-3.139393717842866
0.4,0.0410825191879267,0.10719975279463415,-3.698707759161857e-05,-0.0002507201487298255,6.147660806317008e-05,0.00040688572019508017,0.19895821302662006,3.1316210431865352,0.0,0.0,10.0,0.0,0.05112390844927748,0.1110386682802816,0.007098078342021253,0.005963396594870847,-0.0013683766088439606,-0.00011248797200235153,0.19895821302662006,3.1316210431865352,0,0.30615619688481155,3.134253681149275,0.30615619688481155,3.134253681149275
0.5,0.05180249598847515,0.10898689508472471,-6.140006469893554e-05,-0.00031441446150181593,0.00010216518008267811,0.0005064177240830096,0.19815355846727264,3.1099882012312143,0.0,0.0,10.0,0.0,0.06282858561520661,0.10263200715132846,-0.0023930152722822606,0.022183263918297304,0.0005041328833002767,0.0006938938367339609,0.19815355846727264,3.1099882012312143,0,0.3071117031419921,3.1201130157499803,0.3071117031419921,3.1201130157499803
0.6,0.06270118865228987,0.11076889986209049,-9.17280441106673e-05,-0.00037856196113138907,0.00015280695249097906,0.0006050923915899071,0.19946474435692102,3.1258103922783973,0.0,0.0,10.0,0.0,0.11708796956524489,0.10555406012947768,0.05378632021380523,-0.001692139942614353,-0.0018686801497766552,-0.001016128794765119,0.19946474435692102,3.1258103922783973,0,0.31022871153966397,3.1301269524288577,0.31022871153966397,3.1301269524288577
0.7,0.07377808429386636,0.11254577156156145,-0.00012789161398655245,-0.00044309736153015574,0.00021331619164996978,0.0007028368952872786,0.200815403117596,3.135490609035235,0.0,0.0,10.0,0.0,0.11225379974978902,0.10332752693517823,-0.010321590216381436,-0.012420268512017083,-0.0032347313884811698,0.0006713101828060476,0.200815403117596,3.135490609035235,0,0.3133618429358598,3.1361314936227367,0.3133618429358598,3.1361314936227367
0.7999999999999999,0.0850326706459436,0.11431750254506232,-0.0001698005656120629,-0.0005080410640240491,0.00028359988117869766,0.0007996602368442009,0.2027427721983065,3.1496078020760576,0.0,0.0,10.0,0.0,0.06171711246520134,0.12599220036829,-0.01747314784445998,0.0026130770610788318,0.0017269683022483624,8.828911808217085e-05,0.2027427721983065,3.1496078020760576,0,0.31705598523526884,-3.13825109582794,0.31705598523526884,-3.13825109582794
0.8999999999999999,0.09646443484876667,0.1160840887661886,-0.0002173626270010253,-0.0005733916974038688,0.00036356590486311775,0.0008955518627354987,0.20166100340548937,3.157853927301592,0.0,0.0,10.0,0.0,0.0911483425088148,0.11056573017954943,0.01881152004262503,-0.002723098499718743,0.0010317927923155661,-0.0007897535333418689,0.20166100340548937,3.157853927301592,0,0.31773051418745213,-3.1333074843403996,0.31773051418745213,-3.1333074843403996
