t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],delta_rudder_p [rad],delta_rudder_s [rad],n_prop [rps],n_bt [rps],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_p_cmd [rad],delta_rudder_s_cmd [rad],n_prop_cmd [rps],n_bt_cmd [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],delta_rudder_p_hat [rad],delta_rudder_s_hat [rad],n_prop_hat [rps],n_bt_hat [rps],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.2,3.141592653589793,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,-0.034726489413603526,0.0028975680232775137,0.023425622076752955,0.005439736447085796,-0.0016779292461252305,0.0018692627532138524,0.0,0.0,1e-08,0.0,0.2,3.141592653589793,0,0.20000001,3.141592653589793,0.20000001,3.141592653589793
0.1,1e-09,1.6902359020499694e-06,0.0,-1.2048349389003622e-20,0.0,2.2854422685152385e-20,-0.03490658503988659,0.03490658503988659,2.00000001,-2.0,0.20273305786631723,3.1338302399655014,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,0.0014163364927222198,0.017544037060339582,-0.04013939598898506,0.0032557446888715393,-0.001202737307780842,-3.4595584806374886e-05,-0.03490658503988659,0.03490658503988659,2.00000001,-2.0,0.20273305786631723,3.1338302399655014,0,0.20273474805129735,3.133830304681484,0.20273474805129735,3.133830304681484
0.2,1.7002359020499694e-07,8.457080575727347e-05,-1.2048349389003622e-21,-3.922731302344261e-06,2.2854422685152385e-21,4.169850514057325e-06,-0.06981317007977318,0.06981317007977318,4.00000001,-2.893430935959846,0.20244764234205592,3.1250860593083254,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,0.045453343419346086,-0.005947144659752148,0.051410534626688535,-0.004066414639251185,0.00047369897591792307,7.370411713097823e-05,-0.06981317007977318,0.06981317007977318,4.00000001,-2.893430935959846,0.20244764234205592,3.1250860593083254,0,0.20253226639041974,3.125073585817734,0.20253226639041974,3.125073585817734
0.30000000000000004,8.627104165932343e-06,0.0004065312833608168,-3.9227313023442736e-07,-2.0428541012266743e-05,4.169850514057348e-07,2.8281162538153935e-05,-0.10471975511965978,0.10471975511965978,6.00000001,-2.893430935959846,0.20273401799141466,3.1329747623088786,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,-0.024568739291428793,-0.002569260771943136,-0.019847273414288928,-0.017062131794039967,0.0006418888770729274,-0.0010808560177920726,-0.10471975511965978,0.10471975511965978,6.00000001,-2.893430935959846,0.20273401799141466,3.1329747623088786,0,0.20314071093955105,3.1328910325612456,0.20314071093955105,3.1328910325612456
0.4,4.928023335385012e-05,0.0011186986597310263,-2.435110279714115e-06,-5.431154894135384e-05,3.2451013052211286e-06,8.462936678456693e-05,-0.13962634015954636,0.13962634015954636,8.00000001,-2.893430935959846,0.20403879160969066,3.148796422413768,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,0.054436061146308876,-0.004096141072881779,0.053875613147636184,-0.0013678895304243177,-0.0020182420009624133,-0.0015365918195704592,-0.13962634015954636,0.13962634015954636,8.00000001,-2.893430935959846,0.20403879160969066,3.148796422413768,0,0.20515707967959126,-3.13469611785855,0.20515707967959126,-3.13469611785855
0.5,0.00016115011695101158,0.0023627607415517885,-7.865902144772819e-06,-0.00011036639225701365,1.1708037983677822e-05,0.00018206903952827037,-0.17453292519943295,0.17453292519943295,10.0,-2.893430935959846,0.20361910417682116,3.1335922000340393,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,-0.059106422053592234,0.002182125984842093,0.04747297283061873,0.011010504858540125,-0.0013447361526638271,0.002219688201435652,-0.17453292519943295,0.17453292519943295,10.0,-2.893430935959846,0.20361910417682116,3.1335922000340393,0,0.2059826936369001,3.133136608906329,0.2059826936369001,3.133136608906329
0.6,0.0003974263203073876,0.0042694967562328535,-1.889977504046696e-05,-0.00019153570638134188,2.991494193650486e-05,0.00032579085384298607,-0.20943951023931953,0.20943951023931953,10.0,-2.893430935959846,0.20253610859039767,3.141838695266063,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,-0.004918666019644474,-0.0012488618304063214,0.019009982894585588,-0.002341242508696216,0.0006981418293889532,-0.0013595145422343816,-0.20943951023931953,0.20943951023931953,10.0,-2.893430935959846,0.20253610859039767,3.141838695266063,0,0.20680565340424584,3.1408781554649696,0.20680565340424584,3.1408781554649696
0.7,0.000824376568717587,0.006135724592761318,-3.8040573495276674e-05,-0.00026616050668318373,6.249402732080347e-05,0.00045706698216831966,-0.24434609527920612,0.24434609527920612,10.0,-2.893430935959846,0.2039447727553002,3.1430272709689486,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,0.014707481598216195,-0.01088969264895611,0.004568248064365544,-0.004209955335225066,0.0021517061995743976,-0.0022839781792459344,-0.24434609527920612,0.24434609527920612,10.0,-2.893430935959846,0.2039447727553002,3.1430272709689486,0,0.21008030580758405,-3.1415275509108596,0.21008030580758405,-3.1415275509108596
0.7999999999999999,0.0014379506901397608,0.007960002915000871,-6.461827949761217e-05,-0.00033368102900603104,0.00010820072553763544,0.0005748338094042302,-0.2792526803190927,0.2792526803190927,10.0,-2.893430935959846,0.2026179791117107,3.143575444321968,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,0.011432304994162507,0.02112950147299472,0.0049802324564324684,-0.007230009711149979,0.0011133277717926956,0.0005792975805090132,-0.2792526803190927,0.2792526803190927,10.0,-2.893430935959846,0.2026179791117107,3.143575444321968,0,0.21057763107400831,-3.141373521161154,0.21057763107400831,-3.141373521161154
0.8999999999999999,0.002233954587433239,0.009741417386441917,-9.790025439398803e-05,-0.00039372965116413693,0.00016568410647805845,0.0006784240312817093,-0.3141592653589793,0.3141592653589793,10.0,-2.893430935959846,0.20290999526326636,3.156317884960109,-1.4090264789997418,1.211781055605857,10.0,-2.893430935959846,-0.013658878086444925,0.004633235536952454,0.015142780239700065,-0.0012329495999844988,0.0002477183957084308,-2.8273731372034758e-05,-0.3141592653589793,0.3141592653589793,10.0,-2.893430935959846,0.20290999526326636,3.156317884960109,0,0.2126453221541992,-3.129551450473167,0.2126453221541992,-3.129551450473167
