x [m],y [m]
-4841.989053,-4650
3175,-4650
3175,5484.971171
3059.394708,5484.971171
3122.377626,4521.950155
3101.10811,4457.058137
2958.023221,4399.418247
2940.990756,4837.743798
2930.308188,4928.844822
1339.068425,5341.827905
1226.396133,4764.93721
927.321271,4813.263027
517.9986222,5065.760963
76.56805502,2905.905239
855.9409966,2951.093106
1050.270564,3914.778971
1968.77536,3788.187134
1905.895565,3311.478283
1847.767344,3315.462947
1788.883623,2906.642614
1835.98982,2901.014024
1681.129573,1802.855008
2068.65271,1669.361333
2016.900592,1306.589269
2408.526187,1182.920452
2745.251757,1660.89161
2731.772513,1675.740836
2762.175376,1716.693029
2897.953186,1652.578126
2894.581241,1618.408224
2869.443709,1551.543841
2784.771935,1440.718359
2827.664044,1330.5518
2767.908837,1194.034572
2729.366558,1207.975328
2664.066594,1060.766423
2555.388511,1112.099791
2540.153745,1091.579245
2636.969423,1053.894924
2607.89561,975.2832823
2635.489178,959.6441811
2609.084115,881.404129
2560.786442,895.2517292
2532.903995,808.4211586
2637.931873,771.9755048
2617.078175,704.2838353
2043.162806,893.1033962
2047.02511,914.7311364
1871.937999,978.6869961
1818.163025,972.1056674
1779.057753,932.6312902
1754.975992,962.8237262
1721.210147,953.5678011
1706.402231,1015.901762
1429.524797,1104.074473
1428.611341,1139.072826
1305.479402,1174.149568
1291.788701,1152.482863
1256.057146,1166.828209
619.831317,1643.9419
-263.0066157,2299.272038
-3477.288636,-757.0257474
-2043.406566,-946.2281531
-88.85051459,922.9792279
478.4725868,369.6947738
480.3221284,366.9518161
420.0997471,304.4592936
412.0336748,312.1212331
413.5500549,313.7495517
406.7348108,319.1821523
293.4915236,317.8293366
283.9481626,308.4728403
284.1899341,307.4630438
396.7235915,308.5814818
397.9368618,309.9089232
412.6714518,295.3733494
318.4190774,199.6860619
305.8403934,211.1543921
306.606239,212.8001178
303.5585487,215.602131
190.2566183,214.5834615
185.7931206,210.1054531
185.7907187,208.0452506
211.5040587,208.2080621
211.4719727,191.2793147
166.7661139,190.6285149
161.5428515,185.6488898
161.6218208,184.2202269
274.9150551,184.7056372
295.7761807,204.9799671
309.0988027,190.8143938
198.828007,80.654604
189.2240719,88.10189309
190.4828155,90.21207058
185.9743573,94.63812539
71.45305882,93.83265074
61.6586201,83.00186996
174.3347382,83.79313819
174.9860931,84.7627148
177.4294036,84.55435078
189.8361225,70.59813161
93.81614449,-23.54180451
81.03132873,-10.92406721
81.91221106,-9.737381524
80.85370019,-8.799422344
-31.17101799,-10.15725737
-36.8484688,-15.94836152
-36.73951217,-17.5515111
-35.5677354,-17.50795771
-51.07253787,-33.05366043
-53.47608233,-32.79178175
-60.58412595,-40.51014454
52.75060249,-39.75108107
70.14104289,-21.48111555
75.0704935,-21.62518176
85.2363202,-32.2296507
-53.43949719,-169.4358528
-58.41864308,-164.5081797
-56.71371001,-162.4109153
-59.6253428,-159.6407034
-61.51572398,-161.9877969
-72.54035917,-150.898062
-71.77207305,-149.8630563
-73.64663738,-148.1671139
-44.17848397,-147.5808904
-43.72427783,-144.0985307
-47.50407431,-144.0328778
-47.49603381,-145.8794104
-64.45569921,-146.2849195
-64.04682162,-144.2911836
-67.53203351,-144.4580395
-68.05978728,-146.1974677
-83.96285412,-145.394498
-83.97510826,-138.8257971
-118.0132542,-139.3825529
-118.490046,-146.2109825
-134.4934904,-145.9424111
-134.0019751,-144.4666984
-137.9340894,-144.6062731
-138.1972551,-146.4037167
-155.1000277,-146.5331642
-155.0118437,-144.7718978
-158.3949155,-145.0007334
-158.276703,-148.755772
-118.1790838,-148.8774434
-118.4495398,-154.1845378
-92.86092037,-154.0813735
-69.48954983,-165.0087133
-56.72999292,-174.1756715
-218.9917657,-338.6288023
-230.7324195,-327.7825415
-229.362989,-326.0451422
-238.2422223,-324.4222313
-235.8074991,-333.1766169
-234.3479714,-331.8243898
-222.705794,-343.5247531
-301.2689308,-425.4777421
-313.4687408,-413.5156756
-317.8476938,-417.1430788
-304.7589849,-429.7649745
-354.6950332,-483.4525085
-352.8832184,-480.1060549
-378.0809514,-461.4017908
-1013.138295,-1139.036977
-260.8071035,-1311.250328
49.29421089,-979.1667748
556.2778047,-1389.682339
1182.738179,-862.0443874
1057.237573,-734.7034467
1197.934479,-604.4361576
1315.503286,-716.0637595
1856.96607,-144.8448893
2557.789581,-366.8390646
2504.55276,-557.1843399
2098.992098,-490.8434015
1800.453677,-1281.548784
1847.261855,-1369.989125
1800.428404,-1433.065195
1698.287749,-1425.748441
1140.673631,-1906.650415
1746.092241,-2224.029911
1795.256635,-2460.91085
849.0914075,-2174.2913
886.5641769,-2598.036197
1833.625953,-2929.467118
1832.348015,-2997.020706
1760.109925,-3002.075042
1544.807561,-3292.018132
1387.567998,-3253.488667
1159.436451,-3494.883165
1094.091977,-3451.221586
1400.943458,-3097.212935
1369.02718,-2995.332118
715.1852616,-2730.022974
308.3706311,-2085.810459
198.008104,-2155.423583
-93.30155424,-1684.965298
-1305.320413,-1440.414466
-2203.550369,-2367.338316
-1281.012065,-2685.547455
-1240.908108,-2539.286703
-192.5564968,-2872.559226
-326.1631747,-3335.654656
-1228.794529,-3076.22991
-1262.584668,-3227.177405
-631.9499397,-3734.322732
654.1829982,-4214.900281
-9.545760397,-4318.529885
-946.4332095,-4111.866238
-2614.188681,-2879.427751
-2675.068084,-2961.139058
-2980.397019,-2734.493549
-2917.143555,-2650.808022
-3048.116594,-2558.983946
-3170.363067,-2647.868446
-4233.254441,-1860.130226
-4737.358471,-2236.275343
-4736.034576,-2330.116608
-4754.006671,-2350.957838
-4835.346072,-2322.27056
-5033.628961,-2460.995469
-4826.398727,-2609.978774
-4631.364249,-2610.552174
-4597.817526,-2647.770446
-4544.547773,-2628.635924
-4479.213366,-2672.29003
-4481.12062,-2744.081679
-4012.275309,-3087.261719
-3813.181463,-3181.215935
-3844.909326,-3213.98839
-3649.251677,-3312.726497
-3673.893689,-3335.95123
-3565.255331,-3387.25511
-2977.361103,-2914.576053
-3042.546467,-2824.672505
-2991.087516,-2755.342762
-2688.198187,-2972.842774
-3157.938002,-3609.06457
-3150.295088,-3641.585229
-2894.96338,-3669.757083
-2527.309839,-3263.31803
-2060.411399,-3602.56192
-2193.387888,-3775.094578
-2467.250231,-3725.832863
-2579.162312,-3869.994146
-2432.201385,-3915.562943
-2522.274614,-4017.258562
-2615.131735,-3985.972383
-2631.141043,-4010.761577
-2544.320376,-4028.848438
-2623.512166,-4119.108595
-2717.198826,-4064.234194
-2730.402106,-4098.44088
-2635.16919,-4134.81193
-2722.997367,-4233.33046
-2815.07157,-4199.304122
-2822.306775,-4225.624349
-2741.739255,-4248.756682
-2772.630032,-4286.994096
-2671.802437,-4427.849579
-2759.348141,-4499.592073
-2737.94601,-4530.148022
-2814.67438,-4580.720289
-2894.890902,-4560.339492
-3448.554036,-3804.768808
-3822.416902,-4074.57626
-4582.455042,-3508.047744
-5025.821191,-3677.411881
-4841.989053,-4650
