x [m],y [m]
3462.352265,868.7589947
3447.505992,2912.817847
-3470.482875,2912.817847
-2427.041789,1860.964971
-1789.093336,2542.036938
-1417.711771,2122.133551
-2044.682613,1466.873795
-627.7456823,97.62018808
-665,-91
-646,-95
-604.1077949,103.5408901
-456.5079746,258.4259434
-432.9655503,236.5128105
-445.3600609,222.1933625
-438.380002,208.5820485
-407.316624,240.5507174
-416.4346469,250.3672979
-425.7562302,243.1846598
-450.3033689,264.569398
-66.74837083,652.4873573
-47.32737071,627.5367529
-119.5660424,516.1271919
-103.2836054,506.8680848
-20.53002701,632.8085477
-58.79537315,663.0306289
-20.55545606,702.3434103
-2.996858013,683.3742015
308.8820362,371.897919
308.6220946,357.1495364
276.7366919,326.6091056
260.2411117,339.4464035
191.5663864,268.7355964
204.0364661,253.3311787
169.1737631,216.124234
170.2628587,152.6694236
104.7199513,170.4057162
102.4327273,163.9822087
169.9240585,146.1604928
169.9080199,107.147425
139.1342137,113.2256738
139.4949316,116.6857712
63.62090785,136.9997305
57.59468539,129.4199197
129.3655342,111.8386276
131.0599335,114.0798989
170.2655378,102.8049102
171.0305962,74.7938844
115.3879549,17.95721049
99.70474579,33.32199366
106.9990757,33.67778358
111.9654978,41.51033584
-31.96904887,40.64186313
-38.89048275,32.44120332
26.19231078,33.27525572
27.99054533,18.34904245
-54.32700608,17.66204986
-60.79747222,9.998592797
68.88980502,10.78512881
69.87048077,18.77178902
38.84683813,18.35785798
38.63495887,32.67818395
92.32154905,32.94947109
110.5766384,14.67676704
-12.65840656,-111.7623437
-23.7868746,-100.0628562
-78.65636156,-99.42614397
-78.92059374,-90.20394261
-15.01989059,-91.40162667
-4.818513424,-80.0957918
-150.9542854,-80.02186016
-158.3941558,-90.35544281
-91.11645325,-90.91727445
-91.80917429,-100.4327323
-170.305193,-100.4001717
-176.5163063,-106.997142
-176.2409443,-110.9028354
-33.19576501,-110.201821
-27.5178154,-103.7052396
-16.47821094,-115.4214592
-190,-275
-380,-280
-380,-295
-187.2700581,-288.3551048
260.4946489,-730.7380423
640.9923088,-1111.611009
674.989622,-1086.439631
667.5455493,-998.5139133
937.6137205,-949.2460176
1108.618212,-640.58521
954.4796983,-535.3906438
1191.737692,-285.3776863
1299.052519,-352.0112253
1515.767295,-34.85673877
1668.679413,159.8124653
1793.022813,380.6497452
1930.818026,319.7553328
1739.896241,-8.372777053
1378.000304,-771.458079
1307.399089,-1361.308724
1718.112603,-1655.080099
1929.226182,-1560.037195
2948.504736,-136.1920752
3579.877826,369.6230871
3541.475654,867.8269077
3462.352265,868.7589947
