start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
2000.0,2000.0,300.0,80.0,1.0,3289.97,1634.9909161488276,1535.7763337103163,1674.5782874349454,1512.1441067547325
,,,,,,1489.8302052761874,1275.6896641063818,1504.707031931087,1248.3472639989516
,,,,,,1371.952005225127,1033.8423336040862,1360.657617052643,1026.9236054466774
,,,,,,1248.4058074880872,829.2940004889136,1219.5715295478324,828.2848235691667
,,,,,,1115.844372017934,662.2668583299877,1098.7545008947964,657.7201619391795
,,,,,,984.3878287611791,526.979075806029,989.624753882035,509.56930027171694
,,,,,,865.0936308417515,415.5348533673555,884.58959208505,376.37728381669064
,,,,,,761.5898974858103,318.3069723749527,755.8560649156883,234.98540022513143
,,,,,,677.2440985962012,232.83109230098324,655.9950020798508,142.66536433640292
,,,,,,608.0615913359916,157.60903080947836,570.1085092588041,76.15105511417657
,,,,,,545.357247909721,97.01008518121327,490.47751844701367,69.54073751877975
