t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],delta_rudder [rad],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_cmd [rad],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],delta_rudder_hat [rad],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
0.0,0.0,0.35,-10.0,0.0,0.0,0.0,0.0,0.2,3.141592653589793,0.0,-0.034726489413603526,0.3528975580232775,-9.976574377923248,0.005439736447085796,-0.0016779292461252305,0.0018692627532138524,0.0,0.2,3.141592653589793,0,0.55,3.141592653589793,0.55,3.141592653589793
0.1,0.034999999999999996,0.35,-10.0,0.0,0.0,0.0,0.0,0.20085900889848962,3.1510506243877274,0.0,0.06813041715116942,0.3724297239573468,-10.018344793681692,0.0004721118309074067,0.003061717106132066,-0.0023352153992319833,0.0,0.20085900889848962,3.1510506243877274,0,0.5508533008998898,-3.138144014758775,0.5508533008998898,-3.138144014758775
0.2,0.06999999999999999,0.35,-10.0,0.0,0.0,0.0,0.0,0.20001811764714447,3.1507987839388716,0.0,0.08424259737992693,0.33068898583842943,-10.029774348341999,-0.014054710825938028,-0.00040333775097249776,-0.0012022649675310563,0.0,0.20001811764714447,3.1507987839388716,0,0.5500127239856001,-3.1382447850546695,0.5500127239856001,-3.1382447850546695
0.30000000000000004,0.10499999999999998,0.35,-10.0,0.0,0.0,0.0,0.0,0.19928312882953347,3.1725524182198988,0.0,0.09281252427615347,0.3527140952079766,-9.998804793997394,0.00011518318252040626,-0.0019672967501472164,0.0005841843469499083,0.0,0.19928312882953347,3.1725524182198988,0,0.5492222737280194,-3.130360583825927,0.5492222737280194,-3.130360583825927
0.4,0.13999999999999999,0.35,-10.0,0.0,0.0,0.0,0.0,0.19957393454083183,3.1804400247308426,0.0,0.11542263360440526,0.347024207944696,-10.01984688114116,-0.0170417032530277,0.0006414718920215217,-0.0011091371803302265,0.0,0.19957393454083183,3.1804400247308426,0,0.5494780337281571,-3.127486120778325,0.5494780337281571,-3.127486120778325
0.5,0.175,0.35,-10.0,0.0,0.0,0.0,0.0,0.20231586909845636,3.1833627344833086,0.0,0.17822247700432559,0.36073945782233385,-9.962609382600967,0.018128926970985008,-0.0009101612329791417,0.0031344977888300915,0.0,0.20231586909845636,3.1833627344833086,0,0.5522040304432982,-3.1262928328982937,0.5522040304432982,-3.1262928328982937
0.6,0.21,0.35,-10.0,0.0,0.0,0.0,0.0,0.20090132978693936,3.1715702412029896,0.0,0.2432354063407296,0.35762541563317857,-9.961524284544078,-0.009218244626383227,-0.0005930453452257835,-0.0020904107165087412,0.0,0.20090132978693936,3.1715702412029896,0,0.5508439801750072,-3.1306607828974573,0.5508439801750072,-3.1306607828974573
0.7,0.245,0.35,-10.0,0.0,0.0,0.0,0.0,0.20087805768552253,3.191660584687207,0.0,0.2783626137523914,0.34222814727308587,-9.964975906530317,-0.005767782426282639,0.0005447378762671756,0.0014433684210696646,0.0,0.20087805768552253,3.191660584687207,0,0.55071809941552,-3.1233366607284214,0.55071809941552,-3.1233366607284214
0.7999999999999999,0.27999999999999997,0.35,-10.0,0.0,0.0,0.0,0.0,0.19979889934159703,3.1999057388433174,0.0,0.27468390766004813,0.3444816414133608,-9.980971117330373,-0.002149706802314874,0.0006682268874524484,-0.0016853053960773675,0.0,0.19979889934159703,3.1999057388433174,0,0.5495826664996252,-3.1204035577759424,0.5495826664996252,-3.1204035577759424
0.8999999999999999,0.31499999999999995,0.35,-10.0,0.0,0.0,0.0,0.0,0.19864567079400394,3.195008849895307,0.0,0.25885082989992386,0.3615897954596026,-9.99719104374261,0.004627701676499536,-0.0029714958739378043,0.00026798301009292016,0.0,0.19864567079400394,3.195008849895307,0,0.5484648953639573,-3.1222541105909056,0.5484648953639573,-3.1222541105909056
0.9999999999999999,0.3499999999999999,0.35,-10.0,0.0,0.0,0.0,0.0,0.2001061461534451,3.175071340878328,0.0,0.36058578566027,0.36055577236791264,-10.035769600835431,0.0010912383258749464,-0.0018925373752058745,7.537309387392863e-05,0.0,0.2001061461534451,3.175071340878328,0,0.5500347990377218,-3.1294148690658568,0.5500347990377218,-3.1294148690658568
1.0999999999999999,0.3849999999999999,0.35,-10.0,0.0,0.0,0.0,0.0,0.20171069860940338,3.177205245048033,0.0,0.3643110139535681,0.35575895376248656,-9.999923273426495,0.01080166561386725,-0.0010558579559887306,0.002332978069570213,0.0,0.20171069860940338,3.177205245048033,0,0.551629556037431,-3.1285728194913234,0.551629556037431,-3.1285728194913234
1.2,0.4199999999999999,0.35,-10.0,0.0,0.0,0.0,0.0,0.20200398487998553,3.1899469089065815,0.0,0.40410716732612173,0.3448918181505105,-9.984759319505907,-0.0008392199488203618,8.203428923037231e-05,-0.000706697762653744,0.0,0.20200398487998553,3.1899469089065815,0,0.5518542581109271,-3.1238987504122204,0.5518542581109271,-3.1238987504122204
1.3,0.45499999999999985,0.35,-10.0,0.0,0.0,0.0,0.0,0.2030521923421347,3.2148369677643456,0.0,0.41360945562168056,0.3651470253476521,-9.977831142997339,0.012056298927766279,0.00031219404876787566,-0.0012827509303129166,0.0,0.2030521923421347,3.2148369677643456,0,0.5527075500089382,-3.114705170499946,0.5527075500089382,-3.114705170499946
